seq,doi,year,title,journal,icrv,dpl,fulltext_screening_reason,notes_for_extractor,abstract
44,10.1007/s10490-021-09751-3,2022,Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,ASIA PACIFIC JOURNAL OF MANAGEMENT,1,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
279,10.1016/j.forpol.2018.09.013,2018,A combined focused industry and company size investigation of the internationalization-performance relationship: The case of small and medium-sized enterprises (SMEs) within the Swedish wood manufacturing industry,FOREST POLICY AND ECONOMICS,1,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
34,10.1007/978-981-97-8999-3_3,2023,Outward FDI and its impact on the parent firm: A case of Indian manufacturing firms,ECONOMICS BULLETIN,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
45,10.1108/cms-12-2019-0441,2021,Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,CHINESE MANAGEMENT STUDIES,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
87,10.1016/j.ibusrev.2014.12.006,2016,"Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China",INTERNATIONAL BUSINESS REVIEW,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
94,10.1007/978-4-431-55498-1_10,2016,SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,PRODUCTION NETWORKS AND ENTERPRISES IN EAST ASIA: INDUSTRY AND FIRM-LEVEL ANALYSIS,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
188,10.1108/ijoem-08-2021-1299,2024,Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,INTERNATIONAL JOURNAL OF EMERGING MARKETS,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
212,10.1108/ijoem-02-2021-0236,2023,Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,INTERNATIONAL JOURNAL OF EMERGING MARKETS,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
48,10.1177/1069031x20988260,2021,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,JOURNAL OF INTERNATIONAL MARKETING,I,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
90,10.1016/j.ibusrev.2016.03.011,2016,How does the geographic export diversification-performance relationship vary at different levels of export intensity?,INTERNATIONAL BUSINESS REVIEW,I,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
300,10.1016/j.ibusrev.2015.12.003,2016,"International intensity, diversity, and distance: Unpacking the internationalization-performance relationship",INTERNATIONAL BUSINESS REVIEW,I,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
316,10.1002/tie.21597,2014,"Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: The Role of Outside CEOs, Technology Sourcing, and Innovation",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,I,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
322,10.1016/j.jwb.2013.02.002,2014,"Facing global economic crisis: Foreign sales, ownership groups, and corporate value",JOURNAL OF WORLD BUSINESS,I,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
30,10.1080/09638199.2022.2098527,2023,The inefficiency of exporting SMEs: Evidence from manufacturing industry,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
31,10.1093/icc/dtad004,2023,Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from interfirm transaction data,INDUSTRIAL AND CORPORATE CHANGE,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
36,10.1007/s11575-022-00473-2,2022,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,MANAGEMENT INTERNATIONAL REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
47,10.1108/imr-05-2020-0094,2021,"Resource indivisibility, lumpy costs and the multinationality-performance relationship",INTERNATIONAL MARKETING REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
54,10.1002/smj.3087,2020,"Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance relationship",STRATEGIC MANAGEMENT JOURNAL,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
55,10.1111/twec.12887,2020,"Global sourcing, productivity and export intensity",WORLD ECONOMY,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
78,10.1016/j.ibusrev.2017.02.005,2017,The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,INTERNATIONAL BUSINESS REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
91,10.1016/j.intman.2016.06.001,2016,Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,JOURNAL OF INTERNATIONAL MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
108,10.1016/j.dss.2013.11.001,2014,The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
115,10.1108/mbr-04-2013-0021,2013,Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
134,10.1016/j.ibusrev.2009.02.012,2010,Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
136,10.1007/s11575-008-0027-7,2008,Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
167,10.1108/jfbm-08-2025-0226,2026,Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
191,10.1007/s10843-023-00345-2,2024,The internationalization and performance of INVs: Liability or learning advantages of newness?,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
218,10.3390/su15032003,2023,"Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance",SUSTAINABILITY,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
220,10.1016/j.jretai.2023.07.005,2023,Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,JOURNAL OF RETAILING,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
229,10.1504/ijesb.2022.124453,2022,Internationalisation and performance in family businesses: influence of the internationalisation path followed,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
245,10.37725/mgmt.v24i1.4507,2021,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
248,10.1002/jae.2837,2021,Productivity effects of internationalisation through the domestic supply chain,JOURNAL OF APPLIED ECONOMETRICS,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
249,10.1504/ejim.2021.113232,2021,Globalisation: blessing or curse? Evidence from the insurance industry,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
258,10.1007/s10843-020-00281-5,2020,"Founder ethnic composition, early internationalization, and new venture performance",JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
261,10.1016/j.jbusres.2020.03.018,2020,Host country institutional diversity and MNE performance persistence,JOURNAL OF BUSINESS RESEARCH,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
264,10.1108/md-11-2017-1105,2019,Internationalization of exploitation alliance portfolios and firm performance,MANAGEMENT DECISION,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
272,10.1016/j.ijhm.2019.03.007,2019,Internationalization and hotel performance: Agglomeration-related moderators,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
284,10.1016/j.jclepro.2017.10.111,2018,Internationalization and economic performance: The mediating role of eco-innovation,JOURNAL OF CLEANER PRODUCTION,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
291,10.1016/j.lrp.2016.06.001,2017,"Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm Performance",LONG RANGE PLANNING,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
294,10.1002/gsj.1160,2017,Performance Impact of Temporal Strategic Fit: Entrainment of Internationalization with Pro-Market Reforms,GLOBAL STRATEGY JOURNAL,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
307,10.5771/0935-9915-2015-2-83,2015,Service innovation and internationalization in SMEs: Implications for growth and performance,MANAGEMENT REVUE,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
310,10.3846/16111699.2012.720600,2015,"Internationalisation, cultural distance and country characteristics: a Bayesian analysis of SMEs financial performance",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
311,10.1007/s10843-015-0148-6,2015,The moderating effect of exploitative and exploratory learning on internationalisation-performance relationship in SMEs,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
317,10.1108/md-10-2013-0527,2014,How do resources and diversification strategy explain the performance consequences of internationalization?,MANAGEMENT DECISION,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
326,10.1111/j.2042-5805.2013.01060.x,2013,"BUSINESS GROUP AFFILIATION, INNOVATION, INTERNATIONALIZATION, AND PERFORMANCE: A SEMIPARAMETRIC ANALYSIS",GLOBAL STRATEGY JOURNAL,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
330,10.1016/j.jbusres.2011.05.007,2012,Internationalization and the IPO performance of new ventures,JOURNAL OF BUSINESS RESEARCH,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
331,10.1111/j.1467-9701.2011.01415.x,2012,The Total Factor Productivity Gap between Internationalised and Domestic Firms: Net Premium or Heterogeneity Effect?,WORLD ECONOMY,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
332,10.1108/02651331211260377,2012,"Early internationalization and performance of small high-tech ""born-globals""",INTERNATIONAL MARKETING REVIEW,0,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
346,10.2139/ssrn.989931,2008,Exports and Productivity Growth: First Evidence from a Continuous Treatment Approach,REVIEW OF WORLD ECONOMICS,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
347,10.1016/s1064-4857(07)13008-4,2007,INTERNATIONALIZATION AND PERFORMANCE: THE MODERATING ROLE OF STRATEGIC FIT,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
349,10.1007/s11187-005-5604-6,2006,"Performance, internationalization, and firm-specific advantages of SMEs in a newly-industrialized economy",SMALL BUSINESS ECONOMICS,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
354,10.1080/1350485042000254890,2004,Firms' productivity and internationalization: a statistical dominance test,APPLIED ECONOMICS LETTERS,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
355,10.1002/smj.243,2002,"Pace, rhythm, and scope: Process dependence in building a profitable multinational corporation",STRATEGIC MANAGEMENT JOURNAL,0,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
209,10.1177/21582440241229561,2024,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moderating Effect of Digitalization,SAGE OPEN,2,3,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
343,10.2139/ssrn.900545,2009,The export-growth relationship: estimating a dose-response function,APPLIED ECONOMICS LETTERS,1,2,,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
