study_id,wos_id,authors,year,title,journal,screen_l1,screen_l1_reason,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
S1871,001227420300001,"Moreno Gene, Jordi; Sole Puiggene, Sonia; Gallizo Larraz, Jose Luis",2026,Determining the influence of belonging to a wine protected designation of origin on profitability,AGRIBUSINESS,UNSURE,title_insufficient,UNSURE,WEAK-INCL:financial-perf,,,financial_perf
S1948,001357933000001,"Doan, Ngoc Thang; Tran, Ngoc Mai; Doan, Van Ha; Mai, Huong Giang",2026,The Liability of Informality and De-internationalisation During the COVID-19: International Evidence,FOREIGN TRADE REVIEW,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S2005,001453950300001,"Mondal, Arindam; Sinha, Indrani",2026,"A configurational analysis of digital technology, environmental, and social concerns on the internationalization of entrepreneurial ventures",MANAGEMENT DECISION,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S2010,001462171100001,"Higon, Dolores Anon; Manez, Juan A.; Sanchis, Amparo; Sanchis, Juan A.",2026,Digitalisation and global value chain participation: evidence from Spanish manufacturing firms,INDUSTRY AND INNOVATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2015,001467335200001,"Grover, Cheshta; Ranjan, Ram",2026,Analyzing energy efficiency decisions in India's energy-intensive industries,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2044,001507715100001,"Tang, Linjia; Guo, Yingying; Lu, Zhi; Jiang, Ziyan; Zha, Jianfeng",2026,Wading the uncharted water: how firm's global value chain R&D engagement shaped by domestic performance feedback and CEO incentives?,CHINESE MANAGEMENT STUDIES,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2046,001509973300001,"Kwon, He-Boong; Lee, Jooh",2026,Exploring the dynamic impact patterns of R&D on firm capability: asymmetric impact analysis,JOURNAL OF MODELLING IN MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2050,001511381700001,"Pinelli, Michele; Debellis, Francesco; Pongelli, Claudia; Vallone, Tommaso",2026,"Top management teams, work experience diversity and the speed of international entrepreneurship: an upper echelons perspective",REVIEW OF MANAGERIAL SCIENCE,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2080,001561542300001,"Karami, Masoud; Hossain, Mokter; Hashemi, Omid; Mehrara, Nikan",2026,Business ties and effectuation for radical innovation in small firms: the moderating role of competitive aggressiveness,MARKETING INTELLIGENCE & PLANNING,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2084,001570346700001,"Bello, Michela; Castellani, Davide; Damioli, Giacomo; Marin, Giovanni; Montresor, Sandro",2026,Knowledge sources for Industry 4.0 technologies in European regions: the role of inward FDIs,INDUSTRY AND INNOVATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2087,001570272900001,"Bashir, Shahzada Irfan; Vij, Sandeep; Khalil, Sabine; Belitski, Maksim",2026,Entrepreneurial mindset and family firm performance: the contingent role of firm age and size,JOURNAL OF FAMILY BUSINESS MANAGEMENT,UNSURE,title_insufficient,Y,INCL:firm-performance,,,firm_performance
S2095,001588947000001,"Coleman, Martha; Abdul-Rahaman, Abdul-Rashid; Takyi, Lydia Nyankom; Anfom, Kingsley",2026,Corporate governance and corporate earnings misconduct,INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2096,001590432900001,"Faroque, Anisur R.; Rahman, Arafat; Gani, Mohammad Osman; Hoque, Imranul",2026,Heuristics and decision rationality in entry mode choice: Implications for decision effectiveness and international performance,INTERNATIONAL BUSINESS REVIEW,UNSURE,title_insufficient,UNSURE,WEAK-INCL:entry-mode,,entry_mode,
S2098,001592083600001,"Shahid, Subhan; Ashraf, Naeem; Khan, Raania Naeem",2026,"Navigating family control: U-shaped effects on innovativeness and performance, moderated by firm age and breadth of collaboration partners",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2118,001641035800001,"Kwon, Namhoon; Park, Minsoo; Sung, Won",2026,Is the pursuit of a competition-friendly industrial policy desirable? Evidence from Korea's post-Asian Financial Crisis policy shift,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,1,,
S2121,001641819600001,"Lei, Yang; Peng, Xiaosong David; Zhao, Xiande; Guo, Yue; Zhang, Yiying",2026,Spillover effects of customers' geographic diversification on suppliers' operational performance: impacts and mechanisms,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,UNSURE,title_insufficient,Y,INCL:geo-diversification,,geographic_diversification,
S2123,001643002300001,"Belloc, Filippo; Lofaro, Antonino",2026,"Subsidies, new firms, and productivity in global manufacturing",INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2129,001657039700001,"Adem, Anwar; Battisti, Giuliana; Driffield, Nigel; Schroeder, Andreas",2026,Choice versus necessity: understanding service diversification and firm performance in manufacturing,JOURNAL OF BUSINESS RESEARCH,UNSURE,title_insufficient,Y,INCL:firm-performance,,,firm_performance
S2130,001660317500001,"Guimaraes, Andre; Reis, Pedro; Marques Cardoso, Antonio J.",2026,Digital maturity and business performance in industry 4.0: evidence from industrial firms in Portugal's Dão Lafões region,INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2131,001660726200001,"Murali, Madhuritha; Kayal, Parthajit; Bagchi, Prantik",2026,Innovating for Sustained Growth: The Impact of R&D and Intangible Assets on the Performance of Indian Companies,JOURNAL OF EMERGING MARKET FINANCE,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2135,001670533300001,"Lukason, Oliver; Vissak, Tiia",2026,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predictors,INFORMATION,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S2138,001674191000001,"Antenozio, Ludovica; Marques, Pilar; Bikfalvi, Andrea",2026,Digital orientation and performance in innovative SMEs: exploring the (curvi)linear effects,TECHNOVATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2140,001677939600002,"Yang, Zhuang; Wu, Fuxiang; Yue, Ziyang",2026,Artificial intelligence technology and firms' OFDI: Evidence from China,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2141,001678720700001,"Mu, Yayu; Xu, Xiaodong; Bai, Xiaoxia",2026,Imprinted Environmental Values: Nature-Oriented CEOs and Behavioral Drivers of Green Technology Innovation,JOURNAL OF BEHAVIORAL FINANCE,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2143,001678644500001,"Gabrielsson, Peter; Galkina, Tamara; Chabowski, Brian R.; Gabrielsson, Mika",2026,Improvisation in internationalization decision-making: The critical role of entrepreneurs in SMEs,JOURNAL OF WORLD BUSINESS,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S2145,001680432500001,"Teng, Fangyuan; Rahman, Mahabubur; Jang, Seongsoo",2026,What drives CSR specialization? The roles of relative marketing capability and market conditions,JOURNAL OF BUSINESS RESEARCH,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2147,001686716500001,"Ge, Huahua; Zhang, Xiaoxi; Gao, Pengfei; Li, Mengjia",2026,Global value chain participation and firm-level carbon emissions: Evidence from China,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2148,001687044500001,"Lei, Xue; Xu, Xueguo; Yuan, Hetong",2026,The bright side of dark traits: CEO narcissism and corporate innovation excellence,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2149,001688194600001,"Lan, Mudan; Huang, Yuhong",2026,Can industrial technology convergence facilitate firms' international expansion? Firm-level empirical evidence from China,ECONOMIC MODELLING,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2150,001688811900001,"Arneja, Nitika; Sharma, Chandan",2026,Imported intermediates and firm performance: A difference-in-differences analysis of matched Indian manufacturing firms,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,UNSURE,title_insufficient,Y,INCL:firm-performance,2,,firm_performance
S2151,001699029800001,"Liu, Rui; Yin, Liping",2026,Corporate nationalism and innovation performance- a perspective based on dual legitimacy theory,CHINESE MANAGEMENT STUDIES,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2153,001688314300026,"Xu, Miao; Lu, Bing",2026,"The data-driven decision-making, sustainable value creation, and international firm performance: Micro-level evidence based on AI language models",PLOS ONE,UNSURE,title_insufficient,Y,INCL:firm-performance,,,firm_performance
S2155,001701071000001,"Bootvong, Parichat; Kongchan, Paweena; Apichottanakul, Arthit; Piewthongngam, Kullapapruk",2026,Classifying Thai agro-food SMEs by internationalisation potential: a Self-Organising Map analysis,COGENT BUSINESS & MANAGEMENT,UNSURE,title_insufficient,Y,INCL:internationalization,2,other,
S2157,001703305600001,"Cattaruzzo, Sebastiano; Coro, Giancarlo; Borsato, Roshan",2026,Technological complexity and global capabilities in SMEs. A survey in an Italian industrial region,INDUSTRY AND INNOVATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2159,001703550800001,"Cheng, Huifang; Lin, Shengbin; Hong, Chenxiang",2026,Quantity or efficiency? The impact of AI adoption on firm innovation: Evidence from Chinese listed companies,SOCIO-ECONOMIC PLANNING SCIENCES,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S2160,001707249100001,"Cherchem, Naima; Clark, Daniel; Wales, William",2026,"The path to SME global performance: Entrepreneurial self-efficacy, perceived institutional support, and international entrepreneurial orientation",JOURNAL OF WORLD BUSINESS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S2164,001714494600001,"Baldermann, Sebastian; Schmid, Stefan; Dauth, Tobias",2026,CEOs' international experience: Welcome or unsolicited?,JOURNAL OF INTERNATIONAL MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
