id,title,authors,year,journal,doi,screen_decision,screen_reason
S0007,Revisiting the role of service for manufacturing firm exports: Evidence from Japanese firm-level data,"Matsuura, Toshiyuki",2026,JAPAN AND THE WORLD ECONOMY,10.1016/j.japwor.2025.101343,Y,title_inclusion_pattern
S0010,Gender Differences in Enterprise Export Performance: Some International Evidence,"Lemma, Tesfaye; Machokoto, Michael; Mlilo, Mthokozisi",2026,WORLD ECONOMY,10.1111/twec.70052,Y,title_inclusion_pattern
S0011,Digital industry agglomeration and internationalization of enterprises - evidence from the stability of China's firm embedding in global value chains,"Li, Jin; Li, Haohang; Li, Tong",2026,JOURNAL OF APPLIED ECONOMICS,10.1080/15140326.2026.2617752,Y,title_inclusion_pattern
S0012,The Impact of Local Services Development on the Export Performance of Chinese Manufacturing Firms,"Zhang, Yi; Roelfsema, Hein; Findlay, Christopher; Liu, Chun",2026,OPEN ECONOMIES REVIEW,,Y,title_inclusion_pattern
S0014,Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,"Lisboa, Ana Catarina Cadima; Skarmeas, Dionysis; Robson, Matthew J.",2026,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x251408340,Y,title_inclusion_pattern
S0019,Exploring the Factors Influencing the Export Performance of Manufacturing SMEs in Turkiye,"Akkus, Guzin Emel; Yalabitorkaman, Deniz",2026,JOURNAL OF ECONOMIC POLICY RESEARCHES-IKTISAT POLITIKASI ARASTIRMALARI DERGISI,,Y,title_inclusion_pattern
S0020,"Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Exploratory Learning of Exporting SMEs","Li, Xiaoying; Yuan, Jing; Huang, Qihai",2026,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2026.10127,Y,title_inclusion_pattern
S0023,Heterogeneous effects of internal and external R&D on export performance by industry technology level,"Kim, Minjung",2026,APPLIED ECONOMICS,,Y,title_inclusion_pattern
S0037,Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",2025,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102345,Y,title_inclusion_pattern
S0040,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",2025,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.74896,Y,title_inclusion_pattern
S0051,"Beyond borders: Unraveling the tapestry of export performance through business model innovation, open innovation, and organisational agility","Salmeron, Jose Pinera; Valle, Raquel Sanz; Molina-Castillo, Francisco-Jose",2025,TECHNOVATION,,Y,title_inclusion_pattern
S0057,The impact of enterprise income tax on firm export: Evidence from income tax revenue sharing reform in China,"Su, Yunqing; Lu, Weijun",2025,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.04.032,Y,title_inclusion_pattern
