id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason
S0030,Multinationality and strategic dynamic capabilities during sustainable development goals adoption: Evidence from a natural experiment,"Lee, Liane W. Y.; Krasnikov, Alexander V.",2026,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2026.102599,UNSURE,title_ambiguous_needs_abstract,N,SOFT:csr:SDG
S0034,The impact of board composition and internationalisation on strategic change: Longitudinal empirical evidence,"Samara, Ihssan; Nandakumar, M. k; Sahadev, Sunil; Pereira, Vijay",2025,AUSTRALIAN JOURNAL OF MANAGEMENT,10.1177/03128962241270745,UNSURE,title_ambiguous_needs_abstract,N,HARD:gov:board_composition
S0035,Impact of internal and external corporate social responsibility on internationalization speed: Evidence from Chinese multinational enterprises,"Guo, Zhuang; Xie, Yi",2025,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2964,UNSURE,title_ambiguous_needs_abstract,N,HARD:ant:speed
S0039,Managers and internationalization decisions: An affect-enacted model,"Grego, Marica; Buckley, Peter J.; Munjal, Surender; Voss, Hinrich; Wang, Elizabeth Yi",2025,GLOBAL STRATEGY JOURNAL,,UNSURE,title_ambiguous_needs_abstract,N,HARD:beh:affect
S0044,Time and MNE strategy: Managing temporal misalignments in global value chains,"Buckley, Peter J.; Craig, Thomas D.; Mudambi, Ram",2025,LONG RANGE PLANNING,10.1016/j.lrp.2025.102511,UNSURE,title_ambiguous_needs_abstract,N,HARD:proc:temporal
S0045,Strategic factors in SME leadership orientation towards initiating exports: India context,"Jose, Saju; Buchanan, F. Robert",2025,MEASURING BUSINESS EXCELLENCE,10.1108/mbe-02-2024-0023,UNSURE,title_ambiguous_needs_abstract,N,HARD:ant:leadership_orient
S0048,"Public Funding Dynamics in Clean and Dirty Industries: An Empirical Analysis of the Effects of Eco-Innovation, Cooperation, and Internationalization Strategies","Fores, Beatriz",2025,BUSINESS STRATEGY AND THE ENVIRONMENT,,UNSURE,title_ambiguous_needs_abstract,N,HARD:macro:pub_fund
S0060,Women's Participation in Top Management Business Positions and the Internationalization Process. Evidence for Chilean Companies,"Mardones, Juan Gallegos; Ibanez, Maria J.",2025,SAGE OPEN,10.1177/21582440251335079,UNSURE,title_ambiguous_needs_abstract,N,HARD:proc:process
S0063,Can splitting influence corporate strategy? Exploring the effects of TMT faultlines on internationalization speed,"Lv, Jia; Zhou, Jie; Liu, Yajun",2025,PLOS ONE,10.1371/journal.pone.0324505,UNSURE,title_ambiguous_needs_abstract,N,HARD:ant:speed
S0072,How Can Enterprise Digital Transformation Facilitate Internationalization?,"Li, Gang; Zhang, Chunlian; Hu, Ling",2025,SAGE OPEN,10.1177/21582440251346204,UNSURE,title_ambiguous_needs_abstract,N,HARD:ant:dig_facilitates
