id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason
S0049,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",2025,SUSTAINABILITY,10.3390/su17062580,UNSURE,title_ambiguous_needs_abstract,Y,SI:glob_finperf
S0093,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,"Jain, Samta; Kashiramka, Smita; Jain, P. K.",2024,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-01-2023-0002,UNSURE,title_ambiguous_needs_abstract,Y,SI:perf_xborder
S0101,The Role of Digitalization in Cross-Border E-Commerce Performance of Italian SMEs,"Dallocchio, Maurizio; Lambri, Marcello; Sironi, Emiliano; Teti, Emanuele",2024,SUSTAINABILITY,10.3390/su16020508,UNSURE,title_ambiguous_needs_abstract,Y,SI:ecom_perf
S0103,The impact of global city location intensity on MNE performance: Leveraging learning and connectivity,"Du, Helen S.; Colovic, Ana",2024,LONG RANGE PLANNING,10.1016/j.lrp.2023.102409,UNSURE,title_ambiguous_needs_abstract,Y,SI:mne_perf
S0116,Earnings quality of multinational corporations: Evidence from Latin America before and after IFRS implementation,"Melgarejo, Mauricio",2024,JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,10.1002/jcaf.22729,UNSURE,title_ambiguous_needs_abstract,Y,COMP:intl+perf
S0124,"Balancing people, planet and profit: export strategies for sustainable value creation","Lages, Luis Filipe; Silva, Graca Miranda; Canhoto, Ana Isabel; Martinez, Luis F.; Jahanmir, Sara",2024,SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,10.1108/sampj-09-2023-0687,UNSURE,title_ambiguous_needs_abstract,Y,SI:profit_exp
S0133,Firm productivity and manufacturing exports in transition economies: An institutional and trade geography perspective,"Khasanov, Shokhrukh; Hiwatari, Masato",2024,INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,10.1007/s10368-024-00629-5,UNSURE,title_ambiguous_needs_abstract,Y,SI:prod_exp
S0136,"The impact of female chief executive officers, ownership, and globalization on ASEAN manufacturers' technical efficiency performance","Amornkitvikai, Yot; Charoenrat, Teerawat",2024,RESEARCH IN GLOBALIZATION,10.1016/j.resglo.2024.100206,UNSURE,title_ambiguous_needs_abstract,Y,SI:glob_perf
S0154,Learning-by-exporting vs. self-selection in Ecuadorian manufacturing firms: Evidence from different industry classifications,"Camino-Mogro, Segundo; Ordenana-Rodriguez, Xavier; Vera-Gilces, Paul",2023,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2094451,UNSURE,title_ambiguous_needs_abstract,Y,SI:LBE
S0192,Strategic Marketing Communication for Sustainable Growth: Examining the Influence on Export Intentions and Financial Performance in Iron and Mining SMEs,"Civelek, Mehmet; Hruska, Roman; Svetlik, Jaroslav; Vavrecka, Vladimir; Vincurova, Zuzana",2023,ACTA MONTANISTICA SLOVACA,,UNSURE,title_ambiguous_needs_abstract,Y,SI:exp_perf
