id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason
S0015,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,"Nahar, Sharmin; Alam, Muntasir",2026,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70093,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:ant:platform_expansion
S0074,From internationalization to innovation in the hotel industry: the role of intellectual capital and dynamic capabilities,"Rienda, Laura; Ruiz-Fernandez, Lorena; Andreu, Rosario",2025,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,10.1108/ejim-04-2024-0406,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:intl_to_innov
S0106,Emerging Market Firms' Internationalization Pricing Strategies: The Role of Country of Origin and Organizational Learning,"Sainam, Preethika; Bahadir, S. Cem",2024,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x241226668,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:pricing
S0153,Role of international strategic alliances in internationalization of business group affiliated firms-A system dynamics approach,"Mishra, Divya; Mital, Amita; Srivastava, Samir K.",2023,SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,10.1002/sres.2856,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0162,Reshaping Internationalization Strategy and Control for Global E-Commerce and Digital Transactions: A Hayekian Perspective,"Cha, Hongryol; Kotabe, Masaaki; Wu, Jie",2023,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00494-x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0166,Competence and enterprise of management as drivers of early foreign listing of medium-sized emerging market multinationals (EMNEs) from Africa,"Adams, Kweku; Attah-Boakye, Rexford; Yu, Honglan; Chu, Irene; Ishaque, Maria",2023,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2023.113660,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:ant:foreign_listing
S0173,FDI or International-Trade-Driven Green Growth of 24 Korean Manufacturing Industries? Evidence from Heterogeneous Panel Based on Non-Causality Test,"Wang, Mengzhen; Ding, Xingong; Choi, Baekryul",2023,SUSTAINABILITY,10.3390/su15075753,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:macro:fdi_green_industry
S0177,"Internationalisation, employment generation and wage premia: evidence from Indian manufacturing firms","Aggarwal, Anshul; Sharma, Chandan",2023,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3936,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:emp_gen
S0181,Foreign direct investment and employee income share: Firm-level evidence,"Feng, Ya; Wen, Junqi",2023,FINANCE RESEARCH LETTERS,10.1016/j.frl.2023.103893,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:income_share
S0183,How corporate rent-seeking affects outward FDI--Empirical evidence based on A-share listed manufacturing companies,"Bi, Wenjing; Li, Jiansheng; Xu, Weiyin; Zhang, Xiaotao",2023,FINANCE RESEARCH LETTERS,10.1016/j.frl.2023.104266,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:ant:rent_OFDI
S0199,Export activities and the demand for skills in German businesses,"Koelling, Arnd; Mertens, Antje",2022,EMPIRICA,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:skills_demand
S0216,Leadership in internationalization strategies,"Barac, Maja; Moner-Colonques, Rafael",2022,MANCHESTER SCHOOL,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0255,Internationalization strategies of multi-product firms: The role of technology,"Baumgarten, Daniel; Irlacher, Michael; Mayr-Dorn, Karin",2022,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0259,Do interlocks by different types of directors affect the nature of internationalization strategy of emerging market multinationals?,"Edacherian, Saneesh; Panicker, Vidya Sukumara",2022,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2021.101953,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0269,Globalization and the labor share in China: Firm-level evidence,"Yang, Chih-Hai; Tsou, Meng-Wen",2021,MANCHESTER SCHOOL,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:labor_share
S0284,Does age matter? The impact of SMEs age on the relationship between knowledge sourcing strategy and internationalization,"Santoro, Gabriele; Mazzoleni, Alberto; Quaglia, Roberto; Solima, Ludovico",2021,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.05.021,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0285,Using the Resource-Based View in Multinational Enterprise Research,"Beamish, Paul W.; Chakravarty, Dwarka",2021,JOURNAL OF MANAGEMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:theory:RBV_using
S0291,"Strategic agility, internationalisation speed and international success - The role of coordination mechanisms and growth modes","Demir, Robert; Campopiano, Giovanna; Kruckenhauser, Christian; Bauer, Florian",2021,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2021.100838,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0304,Environmental sustainability practices and offshoring activities of multinational corporations across emerging and developed markets,"Lartey, Theophilus A.; Amankwah-Amoah, Joseph; Danso, Albert; Adomako, Samuel; Khan, Zaheer; Tarba, Shlomo Y.",2021,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101789,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:env_sustain_off
S0305,Internationalization-Innovation Strategy in New Ventures: A Log-linear Analysis,"Alves, Marlon F. R.; Bansi, Ana Claudia; Kim, Sahrok; Oliveira, Maxwell F.; Galina, Simone V. R.",2021,GLOBAL BUSINESS REVIEW,10.1177/09721509211034058,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_innov_strategy
S0311,Knowledge assets for internationalization strategy proposal,"Orero-Blat, Maria; Palacios-Marques, Daniel; Garzon, Dolores",2021,JOURNAL OF INNOVATION & KNOWLEDGE,10.1016/j.jik.2020.08.002,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
