id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason
S0067,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_perf:TITLE_ONLY
S0171,Spillover effects of foreign direct investment on manufacturing exports and imports in Indonesia,"Yasin, Mohammad Zeqi; Esquivias, Miguel Angel",2023,STUDIES IN ECONOMICS AND FINANCE,10.1108/sef-12-2022-0551,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:macro:fdi_spillover:TITLE_ONLY
S0232,Exports and outward FDI as drivers of eco-innovations. An analysis based on Spanish manufacturing firms,"Torrecillas, Celia; Fernandez, Sara",2022,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2022.131243,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:eco_innov_plural:TITLE_ONLY
S0279,Exports of Spanish manufacturing firms and financial constraints,"Manez, Juan A.; Vicente-Chirivella, Oscar",2021,BRQ-BUSINESS RESEARCH QUARTERLY,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:ant:export_financial_constraints:TITLE_ONLY
S0441,Innovation activities and learning processes in the crisis: evidence from Italian export in manufacturing and services,"Brancati, Raffaele; Marrocu, Emanuela; Romagnoli, Manuel; Usai, Stefano",2018,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtx022,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_activities_learning:TITLE_ONLY
S0471,Internationalisation and Innovation Intensities of Polish Manufacturing Firms: A Close Nexus?,"Brodzicki, Tomasz",2017,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2017.050106,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:intl_innov_intensity:TITLE_ONLY
S0501,Innovation management of internationalised IT companies in Brazil and Portugal,"Galina, Simone; Carvalho, Luisa; Costa, Teresa",2016,INTERNATIONAL JOURNAL OF KNOWLEDGE-BASED DEVELOPMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_mgmt_intl:TITLE_ONLY
S0570,The Effects of Internationalization on Innovation: Firm-Level Evidence for Transition Economies,"Boermans, Martijn Adriaan; Roelfsema, Hein",2015,OPEN ECONOMIES REVIEW,10.1007/s11079-014-9334-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:intl_on_innovation:TITLE_ONLY
S0611,Absorptive capacity from foreign direct investment in Spanish manufacturing firms,"Sanchez-Sellero, Pedro; Rosell-Martinez, Jorge; Manuel Garcia-Vazquez, Jose",2014,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2013.06.006,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:absorptive_cap_fdi:TITLE_ONLY
S0653,Which manufacturing firms learn by exporting?,"Silva, Armando; Afonso, Oscar; Africano, Ana Paula",2012,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:ant:learning_by_exporting:TITLE_ONLY
S0690,"Internationalization, Innovativeness, and Proactive Environmental Strategy among Small and Medium Enterprises","Aguilera-Caracuel, Javier; Angeles Escudero-Torres, M.; Cordon-Pozo, Eulogio; Esther Hurtado-Torres, Nuria",2011,CROSS-SECTOR LEADERSHIP FOR THE GREEN ECONOMY: INTEGRATING RESEARCH AND PRACTICE ON SUSTAINABLE ENTERPRISE,10.1057/9781137015891_13,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:proactive_env_strat:TITLE_ONLY
