id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason,round6_decision,round6_reason,round6_decision,round6_reason
S0070,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,export_strategy_innovation_tradition_not_IP_performance,N,export_strategy_innovation_tradition_not_IP_performance
S0083,Foreign networks and export capabilities: insights from small manufacturing firms,"Gashi, Petrit; Krasniqi, Albian",2025,JOURNAL OF BUSINESS ECONOMICS,10.1007/s11573-025-01236-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,export_capabilities_antecedents_not_performance,N,export_capabilities_antecedents_not_performance
S0086,The role of intellectual capital and service agility in banking service provision: the perspective of Brazilian export companies,"Mataveli, Mara; Calvo, Juan-Carlos Ayala; Gil, Alfonso J.",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2020-0190,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,banking_IC_not_standard_I_measure,N,banking_IC_not_standard_I_measure
S0107,Foreign bank entry and the outward foreign direct investment of companies: evidence from China,"Liu, Haiyue; Yi, Zhimin; Shang, Hua; Liu, Zihan",2024,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-024-00693-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,foreign_bank_entry_FDI_determinants_not_IP,N,foreign_bank_entry_FDI_determinants_not_IP
S0109,Business model innovation and internationalization: investigating the relationship through the dynamic states approach,"Krenn, Melanie Luise; Chiarvesio, Maria",2024,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/jsbed-06-2023-0247,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,business_model_innovation_process_not_IP,N,business_model_innovation_process_not_IP
S0123,The omnipresence of the state and its effect on the internationalization of companies: The Russian variety of state capitalism,"Klishevich, Daria; Panibratov, Andrei",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101154,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,state_omnipresence_antecedent_of_I_not_performance,N,state_omnipresence_antecedent_of_I_not_performance
S0130,Rethinking board structures in the age of multinational corporations: A global investigation,"Kuzey, Cemil; Gerged, Ali Meftah; Uyar, Ali; Karaman, Abdullah S.",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101175,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,board_structures_governance_not_IP,N,board_structures_governance_not_IP
S0169,Immigrant and native's export benefiting from business collaborations: a global study,"Ashourizadeh, Shayegheh; Saeedikiya, Mehrzad",2023,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2023.128812,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,immigrant_native_export_individual_level,N,immigrant_native_export_individual_level
S0194,"Informal institutions, entrepreneurs' political participation, and venture internationalization","Li, Dan; Wei, Li-Qun; Cao, Qing; Chen, Deqiu",2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-021-00402-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,informal_institutions_venture_internationalization_antecedent,N,informal_institutions_venture_internationalization_antecedent
S0202,Chairpersons' hubris and internationalization: evidence from emerging market's family business groups,"Agnihotri, Arpita; Bhattacharya, Saurabh",2022,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2020-0196,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,hubris_antecedent_of_internationalization,N,hubris_antecedent_of_internationalization
