id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason
S0067,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_perf:TITLE_ONLY
S0070,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0083,Foreign networks and export capabilities: insights from small manufacturing firms,"Gashi, Petrit; Krasniqi, Albian",2025,JOURNAL OF BUSINESS ECONOMICS,10.1007/s11573-025-01236-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0086,The role of intellectual capital and service agility in banking service provision: the perspective of Brazilian export companies,"Mataveli, Mara; Calvo, Juan-Carlos Ayala; Gil, Alfonso J.",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2020-0190,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0107,Foreign bank entry and the outward foreign direct investment of companies: evidence from China,"Liu, Haiyue; Yi, Zhimin; Shang, Hua; Liu, Zihan",2024,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-024-00693-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0109,Business model innovation and internationalization: investigating the relationship through the dynamic states approach,"Krenn, Melanie Luise; Chiarvesio, Maria",2024,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/jsbed-06-2023-0247,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0123,The omnipresence of the state and its effect on the internationalization of companies: The Russian variety of state capitalism,"Klishevich, Daria; Panibratov, Andrei",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101154,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0129,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,"Srividhya, M.; Vidya, C. T.",2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0130,Rethinking board structures in the age of multinational corporations: A global investigation,"Kuzey, Cemil; Gerged, Ali Meftah; Uyar, Ali; Karaman, Abdullah S.",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101175,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0149,The drivers of successful regional expansion: evidence from multinational corporations in Latin America during 1990-2005,"Parakkal, Raju; Johnson, Joseph; Bartz-Marvez, Sherry",2023,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2023.100003,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
