id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason
S0015,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,"Nahar, Sharmin; Alam, Muntasir",2026,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70093,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0067,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0070,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0074,From internationalization to innovation in the hotel industry: the role of intellectual capital and dynamic capabilities,"Rienda, Laura; Ruiz-Fernandez, Lorena; Andreu, Rosario",2025,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,10.1108/ejim-04-2024-0406,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0082,Is Cost Competitiveness a Sufficient Driving Force for Croatian Exports?,"Novinc, Filip; Skuflic, Lorena",2025,SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS,10.2478/jeb-2025-0016,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0083,Foreign networks and export capabilities: insights from small manufacturing firms,"Gashi, Petrit; Krasniqi, Albian",2025,JOURNAL OF BUSINESS ECONOMICS,10.1007/s11573-025-01236-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0086,The role of intellectual capital and service agility in banking service provision: the perspective of Brazilian export companies,"Mataveli, Mara; Calvo, Juan-Carlos Ayala; Gil, Alfonso J.",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2020-0190,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0102,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moderating Effect of Digitalization,"Wang, Yueqi; Chen, Shouming; Hu, Yuanyuan",2024,SAGE OPEN,10.1177/21582440241229561,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0106,Emerging Market Firms' Internationalization Pricing Strategies: The Role of Country of Origin and Organizational Learning,"Sainam, Preethika; Bahadir, S. Cem",2024,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x241226668,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0107,Foreign bank entry and the outward foreign direct investment of companies: evidence from China,"Liu, Haiyue; Yi, Zhimin; Shang, Hua; Liu, Zihan",2024,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-024-00693-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0109,Business model innovation and internationalization: investigating the relationship through the dynamic states approach,"Krenn, Melanie Luise; Chiarvesio, Maria",2024,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/jsbed-06-2023-0247,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0113,Home country adverse political shocks and cross-border mergers and acquisitions financial performance of politically connected emerging market firms,"Zhou, Chenxi; Zhang, Yameng; Bu, Maoliang",2024,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2023.102175,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0123,The omnipresence of the state and its effect on the internationalization of companies: The Russian variety of state capitalism,"Klishevich, Daria; Panibratov, Andrei",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101154,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0126,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *","Jung, Yonggeun; Hur, Jung",2024,EAST ASIAN ECONOMIC REVIEW,10.2139/ssrn.4881126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0127,Does corporate internationalization affect analysts' ' earnings forecast bias? Evidence from China,"Wang, Linjiang; Zhang, Guiling; Lou, Xu; Guo, Fei",2024,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/j.ribaf.2024.102505,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0129,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,"Srividhya, M.; Vidya, C. T.",2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0130,Rethinking board structures in the age of multinational corporations: A global investigation,"Kuzey, Cemil; Gerged, Ali Meftah; Uyar, Ali; Karaman, Abdullah S.",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101175,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
S0149,The drivers of successful regional expansion: evidence from multinational corporations in Latin America during 1990-2005,"Parakkal, Raju; Johnson, Joseph; Bartz-Marvez, Sherry",2023,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2023.100003,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract
