id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason
S0067,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0070,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0082,Is Cost Competitiveness a Sufficient Driving Force for Croatian Exports?,"Novinc, Filip; Skuflic, Lorena",2025,SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS,10.2478/jeb-2025-0016,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0083,Foreign networks and export capabilities: insights from small manufacturing firms,"Gashi, Petrit; Krasniqi, Albian",2025,JOURNAL OF BUSINESS ECONOMICS,10.1007/s11573-025-01236-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0086,The role of intellectual capital and service agility in banking service provision: the perspective of Brazilian export companies,"Mataveli, Mara; Calvo, Juan-Carlos Ayala; Gil, Alfonso J.",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2020-0190,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0102,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moderating Effect of Digitalization,"Wang, Yueqi; Chen, Shouming; Hu, Yuanyuan",2024,SAGE OPEN,10.1177/21582440241229561,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0107,Foreign bank entry and the outward foreign direct investment of companies: evidence from China,"Liu, Haiyue; Yi, Zhimin; Shang, Hua; Liu, Zihan",2024,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-024-00693-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0109,Business model innovation and internationalization: investigating the relationship through the dynamic states approach,"Krenn, Melanie Luise; Chiarvesio, Maria",2024,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,10.1108/jsbed-06-2023-0247,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0123,The omnipresence of the state and its effect on the internationalization of companies: The Russian variety of state capitalism,"Klishevich, Daria; Panibratov, Andrei",2024,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2024.101154,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
S0126,"Investing Abroad, Transforming at Home: An Empirical Study of Outward Foreign Direct Investment and Korean Manufacturing's Servicification* *","Jung, Yonggeun; Hur, Jung",2024,EAST ASIAN ECONOMIC REVIEW,10.2139/ssrn.4881126,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous
