id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason,round6_decision,round6_reason,round6_decision,round6_reason
S0129,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,"Srividhya, M.; Vidya, C. T.",2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,born_global_India_possible_survival_performance_outcome,UNSURE,born_global_India_possible_survival_performance_outcome
S0149,The drivers of successful regional expansion: evidence from multinational corporations in Latin America during 1990-2005,"Parakkal, Raju; Johnson, Joseph; Bartz-Marvez, Sherry",2023,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2023.100003,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,regional_expansion_success_possible_performance_DV,UNSURE,regional_expansion_success_possible_performance_DV
S0184,In search of markets and technology: the role of cross-border knowledge for domestic productivity,"Arvanitis, Spyros; Seliger, Florian; Woerter, Martin",2023,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad045,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,cross_border_knowledge_domestic_productivity_possible_IP,UNSURE,cross_border_knowledge_domestic_productivity_possible_IP
S0208,Exporting by Private Equity-Backed Portfolio Companies,"Wilson, Nick; Uddin, Moshfique; Wright, Mike",2022,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12566,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,PE_backed_exporters_possible_export_performance,UNSURE,PE_backed_exporters_possible_export_performance
S0219,The innovation and exports interplay across Africa: Does business environment matter?,"Tandrayen-Ragoobur, Verena",2022,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2051588,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,Africa_innovation_exports_interplay_possible_performance,UNSURE,Africa_innovation_exports_interplay_possible_performance
S0240,Organizational learning in SMEs? internationalization: A moderated mediating effect of absorptive capacity,"Kang, Yuanfei; Zhao, Chao; Battisti, Martina",2022,LONG RANGE PLANNING,10.1016/j.lrp.2022.102220,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,OL_SME_internationalization_moderated_mediation_possible_IP,UNSURE,OL_SME_internationalization_moderated_mediation_possible_IP
S0342,Development of entrepreneurial orientation of export manufacturers from emerging economies,"Rwehumbiza, Deusdedit; Marinov, Marin A.",2020,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-019-00580-x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,EO_export_manufacturers_EM_possible_performance,UNSURE,EO_export_manufacturers_EM_possible_performance
S0343,OUTWARD INTERNATIONALISATION OF EMERGING MARKET SMALL AND MEDIUM SIZED ENTERPRISES: CONTRACT MANUFACTURING RELATIONSHIP WITH DEVELOPED MARKET MULTINATIONAL ENTERPRISE(S) AND CAPABILITIES DEVELOPMENT,"Arslan, Ahmad; Naughton, Sean; Tabas, Abdollah Mohammadparast; Puhakka, Vesa",2020,"INTERNATIONAL ENTREPRENEURSHIP IN EMERGING MARKETS: NATURE, DRIVERS, BARRIERS AND DETERMINANTS",10.1108/s2040-724620190000010010,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,outward_I_EM_SMEs_possible_performance,UNSURE,outward_I_EM_SMEs_possible_performance
S0374,Gains from multinational competition for cross-border firm acquisition,"Koska, Onur A.",2019,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,10.5018/economics-ejournal.ja.2019-20,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,gains_MNC_competition_acquisition_possible_performance,UNSURE,gains_MNC_competition_acquisition_possible_performance
S0383,Cross-border acquisitions and family businesses,"Ossorio, Mario",2019,EUROMED JOURNAL OF BUSINESS,10.1108/emjb-05-2018-0033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,UNSURE,cross_border_acquisitions_family_business_possible_perf,UNSURE,cross_border_acquisitions_family_business_possible_perf
