"term","estimate","se","t_stat","p_val","model","n_obs","r_sq","adj_r_sq"
"(Intercept)",15.3078682568602,0.125940734335011,121.548189612268,0,"M0",39054,0.080872,0.080401
"ln_size",-0.0735166363544373,0.0166945527680189,-4.40363017662086,1.06737002477016e-05,"M0",39054,0.080872,0.080401
"firm_age",-0.00658928219448075,0.00101159180355852,-6.51377578515498,7.41740114088935e-11,"M0",39054,0.080872,0.080401
"foreign_own_pct",0.588905748600095,0.0471619798345979,12.4868750350484,1.03041040664351e-35,"M0",39054,0.080872,0.080401
"factor(isic_sector)1",-1.10486290451571,0.103042756713594,-10.7223733113688,8.70998322916897e-27,"M0",39054,0.080872,0.080401
"factor(isic_sector)2",-0.741091487161635,0.106590011699386,-6.95272920366801,3.6390741801111e-12,"M0",39054,0.080872,0.080401
"factor(isic_sector)3",-0.282553823764187,0.117666948012465,-2.40130154250499,0.0163415145925658,"M0",39054,0.080872,0.080401
"factor(isic_sector)4",0.526809939173772,0.22013488855746,2.39312333735896,0.0167103194254819,"M0",39054,0.080872,0.080401
"factor(isic_sector)5",-4.8154819353275,0.368696953688903,-13.0608129173497,6.65403727641377e-39,"M0",39054,0.080872,0.080401
"factor(isic_sector)6",-5.57042206420582,0.426132550733991,-13.0720407408706,5.74488211102425e-39,"M0",39054,0.080872,0.080401
"factor(isic_sector)7",-4.14234814465507,0.374739292672859,-11.053946638767,2.31149992597349e-28,"M0",39054,0.080872,0.080401
"factor(isic_sector)8",-4.45304690869865,0.295608701916558,-15.0639912824881,3.89190263598312e-51,"M0",39054,0.080872,0.080401
"factor(year)2010",-0.609102665209728,0.120357549502191,-5.0607765589199,4.19444975374209e-07,"M0",39054,0.080872,0.080401
"factor(year)2011",1.04364252397201,0.0847758450366417,12.3106118673418,9.21476010437088e-35,"M0",39054,0.080872,0.080401
"factor(year)2013",-0.839191648369422,0.0492689981759056,-17.032853912987,8.04255905734155e-65,"M0",39054,0.080872,0.080401
"factor(year)2014",-0.948952867060982,0.0324733301271983,-29.2225300991282,1.01275331551687e-185,"M0",39054,0.080872,0.080401
"factor(year)2015",-0.040221155616625,0.0476591357475086,-0.843933801689376,0.398711570396767,"M0",39054,0.080872,0.080401
"factor(year)2016",0.975526057983408,0.0628891948537356,15.5118229809148,4.18760043957112e-54,"M0",39054,0.080872,0.080401
"factor(year)2018",3.18046054568698,0.11095084212279,28.6654926166955,7.38947329132645e-179,"M0",39054,0.080872,0.080401
"factor(year)2019",0.569311558719518,0.0548124491537783,10.3865375021338,3.08008803367746e-25,"M0",39054,0.080872,0.080401
"factor(year)2020",0.997944738414591,0.0710156949843163,14.0524533152141,9.56826180311199e-45,"M0",39054,0.080872,0.080401
"(Intercept)",15.2706052258559,0.125630674548784,121.551565974646,0,"M1",39054,0.08217,0.081677
"fsts_c",-0.364709331267361,0.0508302760796489,-7.17504132174842,7.35698533739376e-13,"M1",39054,0.08217,0.081677
"ln_size",-0.0527805075608419,0.0168789101231872,-3.12700921893857,0.00176724083065701,"M1",39054,0.08217,0.081677
"firm_age",-0.00700546561928674,0.00101582773633179,-6.8963126017644,5.41805421615578e-12,"M1",39054,0.08217,0.081677
"foreign_own_pct",0.582769330951965,0.0471671207576726,12.3554145682545,5.29535781982013e-35,"M1",39054,0.08217,0.081677
"factor(isic_sector)1",-1.11247753874721,0.102223722035526,-10.8827727712808,1.52554295041231e-27,"M1",39054,0.08217,0.081677
"factor(isic_sector)2",-0.746521528389256,0.105726651872691,-7.06086417347417,1.6822982642229e-12,"M1",39054,0.08217,0.081677
"factor(isic_sector)3",-0.263226571812879,0.116894327356941,-2.25183358136026,0.0243383261094441,"M1",39054,0.08217,0.081677
"factor(isic_sector)4",0.519887294315528,0.221082385367852,2.3515545729729,0.0187000895666878,"M1",39054,0.08217,0.081677
"factor(isic_sector)5",-4.75476979507952,0.366285334838801,-12.9810542296815,1.88271174552555e-38,"M1",39054,0.08217,0.081677
"factor(isic_sector)6",-5.57604485245137,0.429190203551794,-12.9920133458462,1.63260025150339e-38,"M1",39054,0.08217,0.081677
"factor(isic_sector)7",-4.07737278727849,0.36684361222009,-11.1147438621127,1.17437301508066e-28,"M1",39054,0.08217,0.081677
"factor(isic_sector)8",-4.46599805954994,0.292765746088621,-15.2545101987378,2.17686425387933e-52,"M1",39054,0.08217,0.081677
"factor(year)2010",-0.63394495856859,0.120538324077787,-5.25928133992875,1.45380332978178e-07,"M1",39054,0.08217,0.081677
"factor(year)2011",1.03719941670262,0.0844830629694043,12.2770100922861,1.3943291449571e-34,"M1",39054,0.08217,0.081677
"factor(year)2013",-0.845493831570635,0.0492736401897181,-17.1591509844865,9.36459648009064e-66,"M1",39054,0.08217,0.081677
"factor(year)2014",-0.980353823511104,0.0328176572352285,-29.8727546724064,6.83712959476381e-194,"M1",39054,0.08217,0.081677
"factor(year)2015",-0.0365821200592101,0.0475896307868609,-0.768699387962264,0.442076439311604,"M1",39054,0.08217,0.081677
"factor(year)2016",0.967768303788048,0.0630411283752454,15.3513797853921,4.95641175137764e-53,"M1",39054,0.08217,0.081677
"factor(year)2018",3.17831566013261,0.111202189276444,28.5814126575462,7.82739300993373e-178,"M1",39054,0.08217,0.081677
"factor(year)2019",0.549650609684228,0.0549001968880838,10.0118149085096,1.44406451527833e-23,"M1",39054,0.08217,0.081677
"factor(year)2020",0.993490023055296,0.0710278502598227,13.9873305952675,2.38425640785111e-44,"M1",39054,0.08217,0.081677
"(Intercept)",15.3157617195819,0.127257358187611,120.352661234743,0,"M2",39054,0.082264,0.081747
"fsts_c",-0.0171518355414232,0.217065921758538,-0.0790167125381513,0.937019735018243,"M2",39054,0.082264,0.081747
"fsts_c2",-0.479019256534391,0.283589518334268,-1.6891289189672,0.0912027141823791,"M2",39054,0.082264,0.081747
"ln_size",-0.0549049976508785,0.0168546177778748,-3.25756409160181,0.00112468833031394,"M2",39054,0.082264,0.081747
"firm_age",-0.00717494371595848,0.00101976957729983,-7.03584797553624,2.01309760896603e-12,"M2",39054,0.082264,0.081747
"foreign_own_pct",0.579809898498062,0.0471276872702322,12.3029567560446,1.01276718269914e-34,"M2",39054,0.082264,0.081747
"factor(isic_sector)1",-1.10837009111948,0.102383035285492,-10.8257201794108,2.84313341620842e-27,"M2",39054,0.082264,0.081747
"factor(isic_sector)2",-0.742934559690859,0.105855329457436,-7.0183954223069,2.28085337474038e-12,"M2",39054,0.082264,0.081747
"factor(isic_sector)3",-0.258442144146973,0.117038209790415,-2.20818606683899,0.0272370965858216,"M2",39054,0.082264,0.081747
"factor(isic_sector)4",0.516500086364753,0.220726206445988,2.34000345804494,0.0192885728805525,"M2",39054,0.082264,0.081747
"factor(isic_sector)5",-4.77312589969054,0.366903276573273,-13.0092212429106,1.3049011389543e-38,"M2",39054,0.082264,0.081747
"factor(isic_sector)6",-5.56732432412414,0.429428995391652,-12.9644816346101,2.33507617199494e-38,"M2",39054,0.082264,0.081747
"factor(isic_sector)7",-4.11771890751332,0.366355091921135,-11.2396933966998,2.88700210968764e-29,"M2",39054,0.082264,0.081747
"factor(isic_sector)8",-4.47307892289981,0.292380477693426,-15.2988289717142,1.10740090500319e-52,"M2",39054,0.082264,0.081747
"factor(year)2010",-0.634714458692193,0.120488725086418,-5.26783280540943,1.38774609029787e-07,"M2",39054,0.082264,0.081747
"factor(year)2011",1.03668608626478,0.0844133449404919,12.2810686745751,1.32637336637366e-34,"M2",39054,0.082264,0.081747
"factor(year)2013",-0.847205722336376,0.0492214604128585,-17.2121207950802,3.78266446253793e-66,"M2",39054,0.082264,0.081747
"factor(year)2014",-0.982343155549388,0.0328421027680112,-29.9110919446427,2.22758200302371e-194,"M2",39054,0.082264,0.081747
"factor(year)2015",-0.0406186774847817,0.0473914246199327,-0.8570891846053,0.391400860233812,"M2",39054,0.082264,0.081747
"factor(year)2016",0.965736242231376,0.0631028938207876,15.3041514225016,1.02093317792827e-52,"M2",39054,0.082264,0.081747
"factor(year)2018",3.17451426467154,0.111182800474729,28.5522063764986,1.77427775704929e-177,"M2",39054,0.082264,0.081747
"factor(year)2019",0.544532688281127,0.0549079404157452,9.91719383677664,3.73300101758366e-23,"M2",39054,0.082264,0.081747
"factor(year)2020",0.981292976596626,0.0714506696196182,13.7338527661215,8.00818575130228e-43,"M2",39054,0.082264,0.081747
"(Intercept)",15.3886188317463,0.126790204977954,121.370722875809,0,"M3",38732,0.089387,0.088846
"fsts_c",-0.268008665048554,0.21738173693693,-1.23289411900464,0.217622757394122,"M3",38732,0.089387,0.088846
"fsts_c2",-0.221126627359004,0.283712524251145,-0.779403827669098,0.435746634884349,"M3",38732,0.089387,0.088846
"tci_z",0.295929479496658,0.0179292595365594,16.5053932591712,5.42584351435728e-61,"M3",38732,0.089387,0.088846
"ln_size",-0.103167817012572,0.0170321367343645,-6.05724452671979,1.39746878973603e-09,"M3",38732,0.089387,0.088846
"firm_age",-0.0071707879535295,0.00101943018562379,-7.0341138163784,2.03853606785537e-12,"M3",38732,0.089387,0.088846
"foreign_own_pct",0.637234838139544,0.046954824683398,13.5712324012755,7.39689083538596e-42,"M3",38732,0.089387,0.088846
"factor(isic_sector)1",-1.07227776090851,0.102277570380319,-10.4839971943139,1.10769278231305e-25,"M3",38732,0.089387,0.088846
"factor(isic_sector)2",-0.724031540656939,0.105782383311535,-6.84453798440737,7.7864112538744e-12,"M3",38732,0.089387,0.088846
"factor(isic_sector)3",-0.267611115609397,0.11705898749664,-2.28612190599271,0.0222525047710285,"M3",38732,0.089387,0.088846
"factor(isic_sector)4",0.557984493647803,0.220073374671777,2.53544752735308,0.0112342758185831,"M3",38732,0.089387,0.088846
"factor(isic_sector)5",-4.72407283956969,0.355133851653282,-13.3022318699762,2.75469522989098e-40,"M3",38732,0.089387,0.088846
"factor(isic_sector)6",-5.51626644331667,0.449024955410118,-12.2849885665672,1.26541358234767e-34,"M3",38732,0.089387,0.088846
"factor(isic_sector)7",-4.03904982121431,0.376999817153536,-10.7136651993902,9.57393407759099e-27,"M3",38732,0.089387,0.088846
"factor(isic_sector)8",-4.41163533816555,0.288928007310684,-15.2689778302514,1.75132966015163e-52,"M3",38732,0.089387,0.088846
"factor(year)2010",-0.709916860855212,0.118533482720022,-5.989167318504,2.12774447368502e-09,"M3",38732,0.089387,0.088846
"factor(year)2011",0.968564275463767,0.0839834486133815,11.5327995153255,1.01222979588231e-30,"M3",38732,0.089387,0.088846
"factor(year)2013",-0.85049698057549,0.0491631910522457,-17.2994665800206,8.47384363693395e-67,"M3",38732,0.089387,0.088846
"factor(year)2014",-0.968653226541444,0.0328096877108972,-29.5233906240357,1.8344067054171e-189,"M3",38732,0.089387,0.088846
"factor(year)2015",-0.0367877719480871,0.047776254945795,-0.770001164591595,0.441303900916172,"M3",38732,0.089387,0.088846
"factor(year)2016",0.946645134594471,0.062992494055581,15.027903701657,6.71167612558815e-51,"M3",38732,0.089387,0.088846
"factor(year)2018",3.10776772325695,0.111958171514726,27.7582929518296,6.1502082157283e-168,"M3",38732,0.089387,0.088846
"factor(year)2019",0.518356686923852,0.0549007901197896,9.44169812115336,3.86515105168527e-21,"M3",38732,0.089387,0.088846
"factor(year)2020",0.960593156662872,0.0714037606565257,13.452977095753,3.66001986154841e-41,"M3",38732,0.089387,0.088846
"(Intercept)",15.4849208282349,0.127037452636719,121.892564018236,0,"M4",38617,0.093609,0.093045
"fsts_c",-0.49968446093603,0.218475277705367,-2.28714418484409,0.0221927956202716,"M4",38617,0.093609,0.093045
"fsts_c2",0.08333870842939,0.284973755887209,0.292443450344862,0.769949163022886,"M4",38617,0.093609,0.093045
"tci_z",0.24772581477442,0.0182963214749166,13.5396514055593,1.13598017144437e-41,"M4",38617,0.093609,0.093045
"dai_z",0.199743787654075,0.0150607964004132,13.262498366195,4.67493807990029e-40,"M4",38617,0.093609,0.093045
"ln_size",-0.138291536969854,0.017253483186242,-8.01528221733965,1.12951958851847e-15,"M4",38617,0.093609,0.093045
"firm_age",-0.00718688359955837,0.00101512822800188,-7.07977908732239,1.46845911746562e-12,"M4",38617,0.093609,0.093045
"foreign_own_pct",0.662480128664398,0.0467887495247709,14.158962045217,2.13657119508829e-45,"M4",38617,0.093609,0.093045
"factor(isic_sector)1",-1.07116927234261,0.102133281435133,-10.4879551238441,1.06264652343629e-25,"M4",38617,0.093609,0.093045
"factor(isic_sector)2",-0.741707015831324,0.105606822920524,-7.02328689870261,2.20287808687741e-12,"M4",38617,0.093609,0.093045
"factor(isic_sector)3",-0.303298255558186,0.116828092615192,-2.59610722702792,0.00943223585621692,"M4",38617,0.093609,0.093045
"factor(isic_sector)4",0.550706689984447,0.221723014528993,2.48375970872629,0.0130045608832753,"M4",38617,0.093609,0.093045
"factor(isic_sector)5",-4.69571628139614,0.340286479751745,-13.7993031190128,3.26010903282412e-43,"M4",38617,0.093609,0.093045
"factor(isic_sector)6",-5.79044959604111,0.46279928352587,-12.5117946422176,7.55455945162063e-36,"M4",38617,0.093609,0.093045
"factor(isic_sector)7",-3.95192123125484,0.400379718684577,-9.87043310844673,5.95375941052356e-23,"M4",38617,0.093609,0.093045
"factor(isic_sector)8",-4.49366625733017,0.285563957237482,-15.7361114504837,1.27449790574635e-55,"M4",38617,0.093609,0.093045
"factor(year)2010",-0.743373989735001,0.11623850603375,-6.39524728164662,1.62117796132772e-10,"M4",38617,0.093609,0.093045
"factor(year)2011",0.912749440892042,0.0838034854106147,10.8915451000613,1.38733436846407e-27,"M4",38617,0.093609,0.093045
"factor(year)2013",-0.865488216026435,0.049032830470841,-17.6511983443649,1.86951612940524e-69,"M4",38617,0.093609,0.093045
"factor(year)2014",-0.970441804198116,0.032810568574203,-29.5771102534662,3.93368903571725e-190,"M4",38617,0.093609,0.093045
"factor(year)2015",-0.0340506177610201,0.0478052891609234,-0.712277205277392,0.476297442529776,"M4",38617,0.093609,0.093045
"factor(year)2016",0.926246044775146,0.0627479940183392,14.7613650327122,3.5417032322114e-49,"M4",38617,0.093609,0.093045
"factor(year)2018",3.06274259991166,0.111643773483868,27.433169843137,4.16748291789328e-164,"M4",38617,0.093609,0.093045
"factor(year)2019",0.489432777430894,0.0549707641917864,8.90351052285396,5.64101230601308e-19,"M4",38617,0.093609,0.093045
"factor(year)2020",0.946044974536119,0.072386241587166,13.0694031599487,5.95946421356683e-39,"M4",38617,0.093609,0.093045
"(Intercept)",15.9410266197894,0.137945932577236,115.559961225126,0,"M5",36137,0.102847,0.102201
"fsts_c",-0.401797175839382,0.225007940821443,-1.7857022039868,0.0741558775348567,"M5",36137,0.102847,0.102201
"fsts_c2",-0.162726395680733,0.293341075033743,-0.554734435544066,0.579079754564112,"M5",36137,0.102847,0.102201
"tci_z",0.243907503218645,0.0189474064047164,12.8728701970488,7.75081096244619e-38,"M5",36137,0.102847,0.102201
"dai_z",0.214433928867258,0.0156294361844819,13.7198761577954,9.8831385776839e-43,"M5",36137,0.102847,0.102201
"mgr_experience",0.000836250193450197,0.00195973636096815,0.426715659364033,0.669588987331139,"M5",36137,0.102847,0.102201
"mgr_female",-0.201076878923099,0.0377966343141971,-5.31996783765403,1.04402776283683e-07,"M5",36137,0.102847,0.102201
"ln_size",-0.14833565739218,0.0180541345133445,-8.21615997612844,2.17050747309877e-16,"M5",36137,0.102847,0.102201
"firm_age",-0.00857840925130836,0.0012351758714052,-6.94509134278111,3.84605732987074e-12,"M5",36137,0.102847,0.102201
"foreign_own_pct",0.650791563579142,0.0478573422934559,13.5985730170422,5.18296403394594e-42,"M5",36137,0.102847,0.102201
"factor(isic_sector)1",-1.1102834822432,0.106119609223121,-10.4625666299692,1.39618774384084e-25,"M5",36137,0.102847,0.102201
"factor(isic_sector)2",-0.775017127790245,0.109766093336441,-7.06062413476592,1.68745797210821e-12,"M5",36137,0.102847,0.102201
"factor(isic_sector)3",-0.331509897188243,0.121632253307557,-2.72550979015404,0.00642332063983627,"M5",36137,0.102847,0.102201
"factor(isic_sector)4",0.534918380458209,0.223518478623028,2.39317296607217,0.0167084395580742,"M5",36137,0.102847,0.102201
"factor(isic_sector)5",-4.84158318579608,0.408237474885552,-11.8597225478955,2.2008299701415e-32,"M5",36137,0.102847,0.102201
"factor(isic_sector)6",-5.56225031570942,0.45461174773226,-12.2351662566038,2.35927279170801e-34,"M5",36137,0.102847,0.102201
"factor(isic_sector)7",-4.20172792460133,0.420343621786077,-9.9959359600791,1.70355702753658e-23,"M5",36137,0.102847,0.102201
"factor(isic_sector)8",-4.94045314121032,0.31932573875231,-15.4715155768964,8.04464587938606e-54,"M5",36137,0.102847,0.102201
"factor(year)2010",-1.11094091151334,0.118505948117102,-9.37455823243199,7.33638545516744e-21,"M5",36137,0.102847,0.102201
"factor(year)2011",0.56901455596873,0.085370310927197,6.66525106666157,2.68008425481103e-11,"M5",36137,0.102847,0.102201
"factor(year)2013",-1.17658354022158,0.0521206420144584,-22.5742334466102,4.64191655878675e-112,"M5",36137,0.102847,0.102201
"factor(year)2014",-1.29439770312892,0.0379243507134973,-34.1310445340924,2.56453284784111e-251,"M5",36137,0.102847,0.102201
"factor(year)2015",-0.268241011531203,0.0516315834152107,-5.19528927428127,2.05510455769969e-07,"M5",36137,0.102847,0.102201
"factor(year)2016",0.688779131254517,0.0648817270658697,10.6159185706516,2.7478493433133e-26,"M5",36137,0.102847,0.102201
"factor(year)2018",2.76532797842123,0.114172769567326,24.2205561702744,1.43860716375266e-128,"M5",36137,0.102847,0.102201
"factor(year)2019",0.2005695614662,0.0570064545006588,3.51836582757277,0.000434746835232308,"M5",36137,0.102847,0.102201
"factor(year)2020",0.624862493226262,0.0743174371153725,8.40801994094881,4.32071204760362e-17,"M5",36137,0.102847,0.102201
"(Intercept)",14.4237628077316,0.171519387878311,84.0940664851536,0,"M6",36137,0.688834,0.688403
"fsts_c",1.0859105489773,0.122867828988394,8.83803806023037,1.01723068806584e-18,"M6",36137,0.688834,0.688403
"fsts_c2",-1.33689758293325,0.163998619116492,-8.15188316911147,3.69755378411347e-16,"M6",36137,0.688834,0.688403
"ln_size",-0.0420441724204672,0.0100038541297559,-4.20279742938365,2.6427018714213e-05,"M6",36137,0.688834,0.688403
"firm_age",0.00477993898422361,0.000635074178096317,7.52658374262963,5.32962654372539e-14,"M6",36137,0.688834,0.688403
"foreign_own_pct",-0.355508553933137,0.0287932667402971,-12.3469336473583,5.95417173759973e-35,"M6",36137,0.688834,0.688403
