"model","b1","b2","tp_centered","tp_raw","fsts_min","fsts_max","tp_in_range","shape"
"M2_pooled",0.014246,-0.515479,0.013818,0.114873,0,1,TRUE,"inverted-U"
"M3_pooled",-0.22292,-0.267799,-0.416209,-0.315154,0,1,FALSE,"inverted-U"
"M4_pooled",-0.427953,0.000415,515.030527,515.131582,0,1,FALSE,"U-shaped"
"M5_pooled",-0.402514,-0.162726,-1.236783,-1.135727,0,1,FALSE,"inverted-U"
"M6_country_FE",1.080019,-1.336898,0.403927,0.526727,0,1,TRUE,"inverted-U"
"M7_country_FE",0.621832,-0.80788,0.384854,0.507654,0,1,TRUE,"inverted-U"
"M8_country_FE",0.63622,-0.824048,0.386033,0.508833,0,1,TRUE,"inverted-U"
"ICRV_",0.184534,-0.687487,0.134209,0.267165,0,1,TRUE,"inverted-U"
"ICRV_Advanced_innovation",0.934262,-1.071157,0.436099,0.56644,0,1,TRUE,"inverted-U"
"ICRV_Emerging",2.025793,-2.994726,0.338227,0.438843,0,1,TRUE,"inverted-U"
"ICRV_Lower_mid_transition",3.129809,-4.412537,0.35465,0.44507,0,1,TRUE,"inverted-U"
"ICRV_SIDS_small",-2.780454,2.098585,0.662459,0.722772,0,1,TRUE,"U-shaped"
"ICRV_Upper_mid",-0.106807,-0.798074,-0.066916,0.054942,0,1,TRUE,"inverted-U"
