model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.6358,0.009,1623.524,0.0,***,82302,-0.0,-0.0,,,,,,,,,,,
M1,Intercept,14.6355,0.009,1623.719,0.0,***,82302,0.0004,0.0004,,,,,,,,,,,
M1,fsts_c,0.2018,0.0378,5.336,0.0,***,82302,0.0004,0.0004,,,,,,,,,,,
M2,Intercept,14.7361,0.0119,1235.289,0.0,***,82302,0.0023,0.0023,37.1,0.37126920469917435,2.74,1.2106,-1.6304,0.0,inverted-U,,,,
M2,fsts_c,1.2106,0.1005,12.044,0.0,***,82302,0.0023,0.0023,37.1,0.37126920469917435,2.74,1.2106,-1.6304,0.0,inverted-U,,,,
M2,fsts_c2,-1.6304,0.1408,-11.583,0.0,***,82302,0.0023,0.0023,37.1,0.37126920469917435,2.74,1.2106,-1.6304,0.0,inverted-U,,,,
M3,Intercept,14.421,0.0764,188.776,0.0,***,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,fsts_c,2.4306,0.1568,15.506,0.0,***,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,fsts_c2,-3.5611,0.2233,-15.947,0.0,***,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,female_owner,0.0213,0.0294,0.722,0.4702,,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,foreign_own_pct,0.6279,0.049,12.805,0.0,***,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,firm_age,-0.0093,0.001,-9.003,0.0,***,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M3,ln_size,0.0123,0.0118,1.042,0.2975,,36772,0.0169,0.0168,34.1,0.34126321981308516,1.94,2.4306,-3.5611,0.0,inverted-U,,,,
M5,Intercept,12.8234,0.1743,73.588,0.0,***,36772,0.6711,0.6706,39.5,0.39476108523051423,5.3,0.6634,-0.8402,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bangladesh_2013],0.325,0.1762,1.844,0.0651,†,36772,0.6711,0.6706,39.5,0.39476108523051423,5.3,0.6634,-0.8402,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bhutan_2009],0.1976,0.2016,0.981,0.3268,,36772,0.6711,0.6706,39.5,0.39476108523051423,5.3,0.6634,-0.8402,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bhutan_2015],0.7415,0.2037,3.641,0.0003,***,36772,0.6711,0.6706,39.5,0.39476108523051423,5.3,0.6634,-0.8402,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Cambodia_2016],4.8409,0.1947,24.858,0.0,***,36772,0.6711,0.6706,39.5,0.39476108523051423,5.3,0.6634,-0.8402,0.0,inverted-U,,,,
