model,n,r2,adj_r2,aic,turning_point_pct,lm_p,shape,tci_mod_joint_p,dai_mod_joint_p
M0,82616,0.0,0.0,394125.99,,,,,
M1,82616,0.0004,0.0004,394095.53,,,,,
M2,82616,0.0026,0.0026,393911.05,36.6,0.0,inverted-U,,
M3,37364,0.0146,0.0144,180786.76,34.2,0.0,inverted-U,,
M5,37364,0.677,0.6765,139219.07,40.1,0.0,inverted-U,,
M6,37075,0.0234,0.0232,179087.3,32.9,0.0,inverted-U,,
M7,37075,0.0239,0.0237,179071.18,34.3,0.0,inverted-U,0.0,
M8,36965,0.0291,0.0287,178335.96,34.3,0.0,inverted-U,,0.0017
M9,34595,0.0333,0.0329,167088.45,36.6,0.0,inverted-U,,
M10,31928,0.0495,0.0492,155524.02,,1.0,U or linear (b2>=0),,
M11,29840,0.0679,0.0674,145055.72,34.6,0.0021,inverted-U,,
