model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.5932,0.0093,1576.163,0.0,***,76298,-0.0,-0.0,,,,,,,,,,,
M1,Intercept,14.5928,0.0093,1576.291,0.0,***,76298,0.0004,0.0004,,,,,,,,,,,
M1,fsts_c,0.1974,0.0382,5.164,0.0,***,76298,0.0004,0.0004,,,,,,,,,,,
M2,Intercept,14.6767,0.0123,1193.912,0.0,***,76298,0.0017,0.0017,38.4,0.3838614161465787,3.46,1.0077,-1.3126,0.0,inverted-U,,,,
M2,fsts_c,1.0077,0.1021,9.869,0.0,***,76298,0.0017,0.0017,38.4,0.3838614161465787,3.46,1.0077,-1.3126,0.0,inverted-U,,,,
M2,fsts_c2,-1.3126,0.1427,-9.196,0.0,***,76298,0.0017,0.0017,38.4,0.3838614161465787,3.46,1.0077,-1.3126,0.0,inverted-U,,,,
M3,Intercept,14.402,0.0804,179.021,0.0,***,33215,0.0198,0.0196,34.1,0.3407693101323443,1.91,2.5856,-3.7937,0.0,inverted-U,,,,
M3,fsts_c,2.5856,0.1641,15.757,0.0,***,33215,0.0198,0.0196,34.1,0.3407693101323443,1.91,2.5856,-3.7937,0.0,inverted-U,,,,
M3,fsts_c2,-3.7937,0.2349,-16.151,0.0,***,33215,0.0198,0.0196,34.1,0.3407693101323443,1.91,2.5856,-3.7937,0.0,inverted-U,,,,
M5,Intercept,12.814,0.1747,73.36,0.0,***,33215,0.6738,0.6733,38.7,0.38692900284945314,5.17,0.6738,-0.8707,0.0,inverted-U,,,,
M5,fsts_c,0.6738,0.1013,6.648,0.0,***,33215,0.6738,0.6733,38.7,0.38692900284945314,5.17,0.6738,-0.8707,0.0,inverted-U,,,,
M5,fsts_c2,-0.8707,0.1538,-5.661,0.0,***,33215,0.6738,0.6733,38.7,0.38692900284945314,5.17,0.6738,-0.8707,0.0,inverted-U,,,,
M6,Intercept,14.5643,0.0802,181.608,0.0,***,32932,0.0306,0.0304,33.1,0.33143559773245523,2.0,2.4107,-3.6367,0.0,inverted-U,,,,
M6,fsts_c,2.4107,0.165,14.612,0.0,***,32932,0.0306,0.0304,33.1,0.33143559773245523,2.0,2.4107,-3.6367,0.0,inverted-U,,,,
M6,fsts_c2,-3.6367,0.235,-15.475,0.0,***,32932,0.0306,0.0304,33.1,0.33143559773245523,2.0,2.4107,-3.6367,0.0,inverted-U,,,,
M6,tci_z,0.3489,0.0197,17.681,0.0,***,32932,0.0306,0.0304,33.1,0.33143559773245523,2.0,2.4107,-3.6367,0.0,inverted-U,,,,
M7,Intercept,14.5662,0.0803,181.47,0.0,***,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M7,fsts_c,2.4053,0.1652,14.557,0.0,***,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M7,fsts_c2,-3.5173,0.2374,-14.818,0.0,***,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M7,tci_z,0.3771,0.0291,12.967,0.0,***,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M7,fsts_c_x_tci,-0.1105,0.1988,-0.556,0.5783,,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M7,fsts_c2_x_tci,-0.1911,0.28,-0.683,0.4949,,32932,0.0312,0.0309,34.2,0.341923464329728,2.07,2.4053,-3.5173,0.0,inverted-U,9.1062,0.0001,,
M8,Intercept,14.7205,0.0814,180.905,0.0,***,32827,0.0377,0.0373,34.2,0.34153212421338086,2.17,2.3249,-3.4036,0.0,inverted-U,,,7.0892,0.0008
M8,fsts_c,2.3249,0.1671,13.913,0.0,***,32827,0.0377,0.0373,34.2,0.34153212421338086,2.17,2.3249,-3.4036,0.0,inverted-U,,,7.0892,0.0008
