model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.7408,0.0095,1549.029,0.0,***,68957,0.0,0.0,,,,,,,,,,,
M1,Intercept,14.7405,0.0095,1549.277,0.0,***,68957,0.0004,0.0004,,,,,,,,,,,
M1,fsts_c,0.2087,0.0403,5.175,0.0,***,68957,0.0004,0.0004,,,,,,,,,,,
M2,Intercept,14.8349,0.0125,1185.475,0.0,***,68957,0.0022,0.0021,38.2,0.38171513342539304,3.23,1.1393,-1.4924,0.0,inverted-U,,,,
M2,fsts_c,1.1393,0.1087,10.477,0.0,***,68957,0.0022,0.0021,38.2,0.38171513342539304,3.23,1.1393,-1.4924,0.0,inverted-U,,,,
M2,fsts_c2,-1.4924,0.1505,-9.915,0.0,***,68957,0.0022,0.0021,38.2,0.38171513342539304,3.23,1.1393,-1.4924,0.0,inverted-U,,,,
M3,Intercept,14.1193,0.0845,167.135,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,fsts_c,0.9185,0.1756,5.231,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,fsts_c2,-1.2942,0.2469,-5.241,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,female_owner,0.0886,0.0326,2.722,0.0065,**,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,foreign_own_pct,0.5521,0.0557,9.909,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,firm_age,-0.0155,0.0011,-13.957,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M3,ln_size,0.076,0.0127,5.961,0.0,***,30458,0.0111,0.0109,35.5,0.3548394622193637,5.98,0.9185,-1.2942,0.0,inverted-U,,,,
M5,Intercept,12.8467,0.1751,73.357,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2009],1.7125,0.2079,8.238,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2013],2.5749,0.2401,10.724,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2020],2.9502,0.1819,16.218,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bangladesh_2013],0.3459,0.1763,1.962,0.0498,*,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bhutan_2009],0.204,0.2014,1.013,0.3111,,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Bhutan_2015],0.7472,0.2036,3.67,0.0002,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Cambodia_2016],4.8483,0.1946,24.917,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Cyprus_2019],-1.6097,0.1803,-8.927,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.India_2014],0.9535,0.1707,5.585,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Indonesia_2009],4.8312,0.1797,26.88,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Indonesia_2015],5.4216,0.1829,29.644,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2009],1.3562,0.1904,7.124,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2013],2.2726,0.1802,12.614,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Kazakhstan_2019],2.4332,0.1763,13.798,0.0,***,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2013],0.5516,0.193,2.859,0.0043,**,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
M5,C(cy_fe)[T.KyrgyzRepublic_2019],0.5914,0.199,2.972,0.003,**,30458,0.6505,0.65,38.6,0.3864522227253788,5.46,0.7155,-0.9257,0.0,inverted-U,,,,
