model,n,r2,adj_r2,aic,turning_point_pct,lm_p,shape,tci_mod_joint_p,dai_mod_joint_p
M0,62642,0.0,0.0,293839.44,,,,,
M1,62642,0.0004,0.0004,293814.43,,,,,
M2,62642,0.0007,0.0007,293796.81,47.7,0.0,inverted-U,,
M3,25230,0.013,0.0128,122681.66,,1.0,U or linear (b2>=0),,
M5,25230,0.6875,0.6871,93728.51,38.1,0.0,inverted-U,,
M6,25085,0.0216,0.0213,121749.38,,1.0,U or linear (b2>=0),,
M7,25085,0.0237,0.0234,121697.46,,1.0,U or linear (b2>=0),0.0,
M8,25018,0.0276,0.0271,121266.36,,1.0,U or linear (b2>=0),,0.0191
M9,23662,0.0347,0.0341,114682.26,,1.0,U or linear (b2>=0),,
M10,25018,0.0361,0.0356,121044.46,,1.0,U or linear (b2>=0),,
M11,23662,0.0499,0.0492,114310.37,-0.017,0.5105,not confirmed,,
