model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.8324,0.0101,1469.931,0.0,***,62642,0.0,0.0,,,,,,,,,,,
M1,Intercept,14.8323,0.0101,1470.206,0.0,***,62642,0.0004,0.0004,,,,,,,,,,,
M1,fsts_c,0.2154,0.0455,4.728,0.0,***,62642,0.0004,0.0004,,,,,,,,,,,
M2,Intercept,14.871,0.0129,1152.715,0.0,***,62642,0.0007,0.0007,47.7,0.47736893173269973,8.45,0.6281,-0.6579,0.0,inverted-U,,,,
M2,fsts_c,0.6281,0.1229,5.109,0.0,***,62642,0.0007,0.0007,47.7,0.47736893173269973,8.45,0.6281,-0.6579,0.0,inverted-U,,,,
M2,fsts_c2,-0.6579,0.168,-3.915,0.0001,***,62642,0.0007,0.0007,47.7,0.47736893173269973,8.45,0.6281,-0.6579,0.0,inverted-U,,,,
M3,Intercept,14.1027,0.0933,151.208,0.0,***,25230,0.013,0.0128,,,,0.048822564311612554,0.10354492664947192,1.0,U or linear (b2>=0),,,,
M3,fsts_c,0.0488,0.2176,0.224,0.8225,,25230,0.013,0.0128,,,,0.048822564311612554,0.10354492664947192,1.0,U or linear (b2>=0),,,,
M3,fsts_c2,0.1035,0.296,0.35,0.7265,,25230,0.013,0.0128,,,,0.048822564311612554,0.10354492664947192,1.0,U or linear (b2>=0),,,,
M5,Intercept,12.8707,0.1753,73.435,0.0,***,25230,0.6875,0.6871,38.1,0.38099903851363537,5.74,0.7622,-1.0002,0.0,inverted-U,,,,
M5,fsts_c,0.7622,0.1297,5.876,0.0,***,25230,0.6875,0.6871,38.1,0.38099903851363537,5.74,0.7622,-1.0002,0.0,inverted-U,,,,
M5,fsts_c2,-1.0002,0.1923,-5.202,0.0,***,25230,0.6875,0.6871,38.1,0.38099903851363537,5.74,0.7622,-1.0002,0.0,inverted-U,,,,
