model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.5617,0.0099,1475.62,0.0,***,78927,0.0,0.0,,,,,,,,,,,
M1,Intercept,14.5616,0.0099,1475.786,0.0,***,78927,0.0003,0.0003,,,,,,,,,,,
M1,fsts_c,0.1928,0.0444,4.344,0.0,***,78927,0.0003,0.0003,,,,,,,,,,,
M2,Intercept,14.5835,0.0126,1154.776,0.0,***,78927,0.0004,0.0003,55.8,0.5580447588981398,14.11,0.4333,-0.3882,0.0082,inverted-U,,,,
M2,fsts_c,0.4333,0.1168,3.711,0.0002,***,78927,0.0004,0.0003,55.8,0.5580447588981398,14.11,0.4333,-0.3882,0.0082,inverted-U,,,,
M2,fsts_c2,-0.3882,0.1619,-2.398,0.0165,*,78927,0.0004,0.0003,55.8,0.5580447588981398,14.11,0.4333,-0.3882,0.0082,inverted-U,,,,
M3,Intercept,14.0643,0.0317,443.877,0.0,***,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M3,fsts_c,-0.1877,0.1191,-1.576,0.115,,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M3,fsts_c2,0.3167,0.1631,1.941,0.0522,†,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M3,female_owner,0.0878,0.0247,3.552,0.0004,***,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M3,firm_age,0.0078,0.0006,12.619,0.0,***,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M3,ln_size,0.0977,0.0079,12.384,0.0,***,77486,0.0055,0.0054,,,,-0.18770726566898807,0.3167160657968904,1.0,U or linear (b2>=0),,,,
M5,Intercept,12.3283,0.1721,71.626,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Afghanistan_2025],0.187,0.1894,0.987,0.3235,,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2009],1.7428,0.2094,8.323,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2013],2.6144,0.2413,10.834,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2020],2.9674,0.1835,16.172,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Armenia_2024],3.0682,0.2015,15.23,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Azerbaijan_2009],-3.9105,0.1883,-20.77,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Azerbaijan_2013],-3.3508,0.1965,-17.05,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Azerbaijan_2019],-2.6953,0.2485,-10.847,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
