model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,14.5606,0.0099,1473.58,0.0,***,78810,-0.0,-0.0,,,,,,,,,,,
M1,Intercept,14.5605,0.0099,1473.746,0.0,***,78810,0.0003,0.0003,,,,,,,,,,,
M1,fsts_c,0.193,0.0444,4.347,0.0,***,78810,0.0003,0.0003,,,,,,,,,,,
M2,Intercept,14.5817,0.0127,1152.201,0.0,***,78810,0.0004,0.0003,56.7,0.5665976275393524,14.66,0.4257,-0.3757,0.0102,inverted-U,,,,
M2,fsts_c,0.4257,0.1168,3.644,0.0003,***,78810,0.0004,0.0003,56.7,0.5665976275393524,14.66,0.4257,-0.3757,0.0102,inverted-U,,,,
M2,fsts_c2,-0.3757,0.162,-2.318,0.0204,*,78810,0.0004,0.0003,56.7,0.5665976275393524,14.66,0.4257,-0.3757,0.0102,inverted-U,,,,
M3,Intercept,14.0596,0.0318,442.649,0.0,***,77369,0.0055,0.0055,,,,-0.1994456269275791,0.3340684756538615,1.0,U or linear (b2>=0),,,,
M3,fsts_c,-0.1994,0.1192,-1.673,0.0944,†,77369,0.0055,0.0055,,,,-0.1994456269275791,0.3340684756538615,1.0,U or linear (b2>=0),,,,
M3,fsts_c2,0.3341,0.1633,2.045,0.0408,*,77369,0.0055,0.0055,,,,-0.1994456269275791,0.3340684756538615,1.0,U or linear (b2>=0),,,,
M5,Intercept,12.3283,0.1721,71.625,0.0,***,77369,0.7528,0.7525,33.4,0.3336689296660645,3.57,0.5508,-0.8254,0.0,inverted-U,,,,
M5,fsts_c,0.5508,0.0666,8.267,0.0,***,77369,0.7528,0.7525,33.4,0.3336689296660645,3.57,0.5508,-0.8254,0.0,inverted-U,,,,
M5,fsts_c2,-0.8254,0.0993,-8.308,0.0,***,77369,0.7528,0.7525,33.4,0.3336689296660645,3.57,0.5508,-0.8254,0.0,inverted-U,,,,
M6,Intercept,14.2036,0.033,430.061,0.0,***,77092,0.0089,0.0088,,,,-0.3554770487308898,0.44623489937216254,1.0,U or linear (b2>=0),,,,
M6,fsts_c,-0.3555,0.1202,-2.958,0.0031,**,77092,0.0089,0.0088,,,,-0.3554770487308898,0.44623489937216254,1.0,U or linear (b2>=0),,,,
M6,fsts_c2,0.4462,0.164,2.721,0.0065,**,77092,0.0089,0.0088,,,,-0.3554770487308898,0.44623489937216254,1.0,U or linear (b2>=0),,,,
M6,tci_z,0.2147,0.0137,15.701,0.0,***,77092,0.0089,0.0088,,,,-0.3554770487308898,0.44623489937216254,1.0,U or linear (b2>=0),,,,
M7,Intercept,14.1971,0.0331,428.458,0.0,***,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M7,fsts_c,-0.4172,0.1214,-3.437,0.0006,***,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M7,fsts_c2,0.6133,0.1668,3.678,0.0002,***,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M7,tci_z,0.2572,0.0156,16.471,0.0,***,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M7,fsts_c_x_tci,0.3691,0.1293,2.855,0.0043,**,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M7,fsts_c2_x_tci,-0.7329,0.1749,-4.19,0.0,***,77092,0.0093,0.0092,,,,-0.417184696169832,0.6133267570858063,1.0,U or linear (b2>=0),13.3755,0.0,,
M8,Intercept,14.2616,0.0339,421.311,0.0,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c,-0.4907,0.1229,-3.994,0.0001,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c2,0.7251,0.1687,4.298,0.0,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,tci_z,0.2263,0.016,14.165,0.0,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c_x_tci,0.4165,0.1343,3.101,0.0019,**,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c2_x_tci,-0.7245,0.182,-3.98,0.0001,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,dai_z,0.1454,0.0173,8.422,0.0,***,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c_x_dai,-0.0051,0.1481,-0.034,0.9728,,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M8,fsts_c2_x_dai,-0.1814,0.2021,-0.897,0.3695,,77007,0.0111,0.0109,,,,-0.4907007780486942,0.7251108538778407,1.0,U or linear (b2>=0),,,3.9185,0.0199
M9,Intercept,14.3719,0.0368,390.075,0.0,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c,-0.4365,0.1589,-2.747,0.006,**,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c2,0.2627,0.1735,1.514,0.1299,,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,tci_z,0.223,0.0162,13.738,0.0,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c_x_tci,0.4436,0.137,3.239,0.0012,**,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c2_x_tci,-0.7415,0.1849,-4.01,0.0001,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,dai_z,0.1409,0.0177,7.971,0.0,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c_x_dai,-0.089,0.1524,-0.584,0.5591,,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,fsts_c2_x_dai,-0.0653,0.2079,-0.314,0.7534,,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,mgr_experience,-0.0084,0.0012,-6.834,0.0,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M9,mgr_female,0.2134,0.0363,5.877,0.0,***,73831,0.0131,0.0129,,,,-0.43647667617180363,0.26269178447841174,1.0,U or linear (b2>=0),,,,
M10,Intercept,14.3349,0.075,191.185,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,fsts_c,2.7973,0.3862,7.244,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,fsts_c2,-4.0718,0.6524,-6.241,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,tci_z,0.1917,0.014,13.677,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,dai_z,0.1383,0.0124,11.128,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,icrv_group,0.0059,0.0171,0.342,0.7326,,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,fsts_c_x_icrv,-0.8659,0.1035,-8.363,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M11,Intercept,14.0187,0.0692,202.644,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c,0.3662,0.2779,1.318,0.1876,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c2,0.207,0.1722,1.202,0.2295,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
