model,term,b,se,t,p,sig,n,r2,adj_r2,tp,b1,b2,lm_p,shape,tp_raw,tp_se,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M0,Intercept,15.2605,0.0423,361.071,0.0,***,8253,0.0,0.0,,,,,,,,,,,
M1,Intercept,15.2607,0.0423,360.993,0.0,***,8253,0.0001,-0.0,,,,,,,,,,,
M1,fsts_c,-0.1327,0.1519,-0.874,0.3822,,8253,0.0001,-0.0,,,,,,,,,,,
M2,Intercept,13.4254,0.0668,200.896,0.0,***,8253,0.1752,0.175,,-13.367097264825013,22.698549377271867,1.0,U or linear (b2>=0),,,,,,
M2,fsts_c,-13.3671,0.4042,-33.073,0.0,***,8253,0.1752,0.175,,-13.367097264825013,22.698549377271867,1.0,U or linear (b2>=0),,,,,,
M2,fsts_c2,22.6985,0.6939,32.712,0.0,***,8253,0.1752,0.175,,-13.367097264825013,22.698549377271867,1.0,U or linear (b2>=0),,,,,,
M3,Intercept,11.7854,0.237,49.723,0.0,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M3,fsts_c,-13.6818,0.4068,-33.634,0.0,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M3,fsts_c2,22.6177,0.6898,32.787,0.0,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M3,foreign_own_pct,0.0113,0.0018,6.178,0.0,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M3,firm_age,0.6328,0.104,6.088,0.0,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M3,ln_size,0.0996,0.0278,3.584,0.0003,***,8229,0.1841,0.1836,,-13.681821309295888,22.617701212482494,1.0,U or linear (b2>=0),,,,,,
M5,Intercept,13.528,0.1123,120.414,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,C(cy_fe)[T.China_2024],0.4048,0.039,10.375,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,C(cy_fe)[T.Singapore_2023],-1.2576,0.0516,-24.362,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,C(cy_fe)[T.Vietnam_2009],6.9933,0.0517,135.273,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,C(cy_fe)[T.Vietnam_2015],7.5925,0.0527,144.066,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,C(cy_fe)[T.Vietnam_2023],8.1009,0.0529,153.128,0.0,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
M5,fsts_c,0.5516,0.1456,3.788,0.0002,***,8229,0.8866,0.8864,22.9,0.5516,-1.2068,0.0001,inverted-U,0.22852986208194034,5.39,,,,
