model,n,r2,adj_r2,aic,turning_point_pct,lm_p,shape,tci_mod_joint_p,dai_mod_joint_p
M0,8253,0.0,0.0,45628.54,,,,,
M1,8253,0.0001,-0.0,45629.74,,,,,
M2,8253,0.1752,0.175,44043.32,,1.0,U or linear (b2>=0),,
M3,8229,0.1841,0.1836,43831.6,,1.0,U or linear (b2>=0),,
M5,8229,0.8866,0.8864,27605.27,22.9,0.0001,inverted-U,,
M6,8224,0.2052,0.2047,43587.09,,1.0,U or linear (b2>=0),,
M7,8224,0.2357,0.235,43269.21,,1.0,U or linear (b2>=0),0.0,
M8,8220,0.2442,0.2432,43161.82,,1.0,U or linear (b2>=0),,0.2057
M9,8220,0.25,0.2488,43101.91,,1.0,U or linear (b2>=0),,
M10,8220,0.67,0.6696,36348.69,31.9,0.0,inverted-U,,
M11,8220,0.6364,0.6358,37152.3,,1.0,U or linear (b2>=0),,
