model,term,beta,se,p,N,R2
M1,fsts_c,-1.339253,0.386637,0.000533,209,0.6666
M1,ln_size,0.001934,0.089607,0.982779,209,0.6666
M1,firm_age,0.014253,0.006108,0.019627,209,0.6666
M1,foreign_own_pct,-0.426404,0.423994,0.314567,209,0.6666
M2,fsts_c,-2.182317,1.615239,0.17667,209,0.667
M2,fsts_c2,1.124725,1.947643,0.563615,209,0.667
M2,ln_size,0.008414,0.090396,0.92584,209,0.667
M2,firm_age,0.014321,0.006145,0.019787,209,0.667
M2,foreign_own_pct,-0.425711,0.424084,0.315457,209,0.667
M3,fsts_c,-3.004295,1.572749,0.056105,205,0.6775
M3,fsts_c2,2.203804,1.800517,0.220958,205,0.6775
M3,tci_z,0.298574,0.099198,0.002614,205,0.6775
M3,dai_z,0.094198,0.088031,0.284593,205,0.6775
M3,ln_size,-0.032253,0.089414,0.718312,205,0.6775
M3,firm_age,0.015313,0.006208,0.013643,205,0.6775
M3,foreign_own_pct,-0.401376,0.449863,0.372276,205,0.6775
YearFE_only,fsts,-3.351476,0.808205,3.4e-05,209,0.1091
YearFE_only,ln_size,-0.101859,0.146526,0.486955,209,0.1091
YearFE_only,firm_age,-0.00848,0.010209,0.406164,209,0.1091
YearFE_only,foreign_own_pct,0.297129,0.611464,0.627017,209,0.1091
Bivariate,fsts,-0.919193,0.453223,0.042548,959,0.1584
Exporters_only,fsts_c,-1.175686,0.763309,0.1235,26,
Exporters_only,ln_size,-0.231246,0.307723,0.452366,26,
Exporters_only,firm_age,0.047608,0.028152,0.090817,26,
Exporters_only,foreign_own_pct,-1.735936,0.425854,4.6e-05,26,
