"metric","value"
"N_total_analysis","959"
"N_exporters","132"
"N_M3","205"
"fsts_mean","0.048279"
"M1_beta_fsts_c","-1.339253"
"M1_se_fsts_c","0.385679"
"M1_p_fsts_c","0.000631"
"M1_R2","0.6666"
"M2_beta_fsts_c","-2.17747"
"M2_beta_fsts_c2","1.124725"
"M2_p_fsts_c","0.175879"
"M3_beta_fsts_c","-2.979413"
"M3_p_fsts_c","0.055855"
"M3_beta_tci_z","0.298574"
"M3_p_tci_z","0.002888"
"M3_beta_dai_z","0.094198"
"M3_p_dai_z","0.284681"
"M_yearFE_beta_fsts","-3.351476"
"M_yearFE_p_fsts","5e-05"
"M_biv_beta_fsts","-0.864207"
"M_biv_p_fsts","0.050268"
"penalty_confirmed","YES"
