"model","term","beta","se","t_stat","p_value","signif"
"M0_controls_FE","ln_size",0.06445,0.07946,0.8111,0.41778,""
"M0_controls_FE","firm_age",0.014091,0.005766,2.444,0.01495,"*"
"M0_controls_FE","foreign_own_pct",-0.599675,0.292166,-2.0525,0.040758,"*"
"M1_fsts_c","fsts_c",-0.356607,0.195469,-1.8244,0.068832,"."
"M1_fsts_c","ln_size",0.066835,0.079321,0.8426,0.399959,""
"M1_fsts_c","firm_age",0.013718,0.005778,2.3743,0.018048,"*"
"M1_fsts_c","foreign_own_pct",-0.573204,0.291779,-1.9645,0.050152,"."
"M2_quadratic","fsts_c",-1.059183,0.830557,-1.2753,0.202946,""
"M2_quadratic","fsts_c2",0.885966,0.999801,0.8861,0.376067,""
"M2_quadratic","ln_size",0.069664,0.079285,0.8787,0.380108,""
"M2_quadratic","firm_age",0.013901,0.005814,2.391,0.01726,"*"
"M2_quadratic","foreign_own_pct",-0.585738,0.292428,-2.003,0.045842,"*"
"M3_capability","fsts_c",-1.135745,0.862131,-1.3174,0.188475,""
"M3_capability","fsts_c2",1.067535,1.03304,1.0334,0.30205,""
"M3_capability","tci_z",0.068723,0.08313,0.8267,0.408907,""
"M3_capability","dai_z",0.09112,0.092645,0.9835,0.325944,""
"M3_capability","ln_size",0.036265,0.078905,0.4596,0.646054,""
"M3_capability","firm_age",0.014924,0.005897,2.5307,0.011767,"*"
"M3_capability","foreign_own_pct",-0.6062,0.304241,-1.9925,0.047,"*"
"M_yearFE_only","fsts",-1.164529,0.284765,-4.0894,5.2e-05,"***"
"M_yearFE_only","ln_size",0.230921,0.116507,1.982,0.048143,"*"
"M_yearFE_only","firm_age",0.059344,0.011675,5.0828,1e-06,"***"
"M_yearFE_only","foreign_own_pct",-0.875233,0.540612,-1.619,0.106225,""
"M_bivariate","fsts",-1.1465,0.251864,-4.5521,6e-06,"***"
