"spec","term","beta","se","t_stat","p_value","n","g"
"M1_Full_incl_Comoros","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M2_Full_incl_Comoros","fsts_c",-0.88076653844522,0.763932538168559,-1.15293758864724,0.249464687939724,532,5
"M2_Full_incl_Comoros","fsts_c2",0.648513915174462,0.979769991059968,0.661904243946954,0.508325238666749,532,5
"M3_Full_incl_Comoros","fsts_c",-0.921254321684848,0.783575070931985,-1.17570652240009,0.240257512611268,526,5
"M3_Full_incl_Comoros","tci_z",0.0580258565112888,0.0849968211847159,0.682682666275088,0.495115541796475,526,5
"M3_Full_incl_Comoros","dai_z",0.0615228600504344,0.0734018024708111,0.83816552154696,0.402328093882866,526,5
"M1_Pacific_only","fsts_c",-0.356606864306711,0.195469494357988,-1.82436070384267,0.0688323900331415,415,4
"M2_Pacific_only","fsts_c",-0.965278697088208,0.727944857111189,-1.32603271753147,0.185576219714559,415,4
"M2_Pacific_only","fsts_c2",0.885966338325334,0.999801245397381,0.886142463218475,0.376066620314308,415,4
"M3_Pacific_only","fsts_c",-1.02259674386227,0.755904095597725,-1.35281281027279,0.176885367606007,409,4
"M3_Pacific_only","tci_z",0.0687232425990382,0.0831302226970217,0.826693834918601,0.408907194582872,409,4
"M3_Pacific_only","dai_z",0.0911197624862064,0.0926452519673586,0.983534078123187,0.325943659597831,409,4
"M1_LOO_baseline","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M1_LOO_drop_Comoros","fsts_c",-0.356606864306711,0.195469494357988,-1.82436070384267,0.0688323900331415,415,4
"M1_LOO_drop_Fiji","fsts_c",-0.171006215740566,0.195840084502794,-0.873193126804062,0.383020445266426,462,4
"M1_LOO_drop_Kiribati","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M1_LOO_drop_PapuaNewGuinea","fsts_c",-0.394943797995429,0.189018244609319,-2.08944802556883,0.0372150431136942,470,4
"M1_LOO_drop_Samoa","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M1_LOO_drop_SolomonIslands","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M1_LOO_drop_TimorLeste","fsts_c",-1.2656688429375,0.332212111653388,-3.80982149217373,0.000166922018300528,326,4
"M1_LOO_drop_Tonga","fsts_c",-0.403825546972034,0.187670044476123,-2.15178478855965,0.0318722856536833,532,5
"M1_LOO_drop_Vanuatu","fsts_c",-0.399599625376903,0.19340470454359,-2.066131877815,0.0393928825460506,455,4
"M1_no_foreign_control","fsts_c",-0.514285086370884,0.192096615335264,-2.67722096754962,0.00750789346456491,1457,9
