"metric","value"
"N_total_analysis","1469"
"N_exporters","187"
"N_M3","526"
"fsts_mean","0.060313"
"M1_beta_fsts_c","-0.403826"
"M1_se_fsts_c","0.18767"
"M1_p_fsts_c","0.031872"
"M1_R2","0.8001"
"M2_beta_fsts_c","-0.924659"
"M2_beta_fsts_c2","0.648514"
"M2_p_fsts_c","0.264856"
"M3_beta_fsts_c","-0.974193"
"M3_p_fsts_c","0.252012"
"M3_beta_tci_z","0.058026"
"M3_p_tci_z","0.495116"
"M3_beta_dai_z","0.061523"
"M3_p_dai_z","0.402328"
"M_yearFE_beta_fsts","-1.236155"
"M_yearFE_p_fsts","5e-06"
"M_biv_beta_fsts","-1.595769"
"M_biv_p_fsts","0"
"penalty_confirmed","YES"
