model,term,coef,se,p,n,r2_adj
trend,const,13.13595163288806,0.022364361273895905,0.0,28717,0.1803582991971987
trend,FSTS,1.7114525055696062,0.22071695778145178,8.900033267388679e-15,28717,0.1803582991971987
trend,FSTSsq,-1.4131857074463845,0.24412488387646805,7.089868605601248e-09,28717,0.1803582991971987
trend,trend,0.09542930823734808,0.001538069210024915,0.0,28717,0.1803582991971987
trend,lnEmp,0.19401714593644137,0.005354128733867864,1.5968443645999492e-287,28717,0.1803582991971987
trend,firmage,-0.0010732296543541169,0.0004887436268670563,0.028099464413421902,28717,0.1803582991971987
trend,foreigndummy,0.289500071492104,0.05689628767464388,3.614652987581188e-07,28717,0.1803582991971987
trend,FSTS_x_trend,-0.09720001982722815,0.025794465629250158,0.00016439538542179253,28717,0.1803582991971987
trend,FSTSsq_x_trend,-0.003053598134814738,0.029760905743175612,0.9182769970478992,28717,0.1803582991971987
dummy,const,13.193788390540243,0.022355210047086516,0.0,28717,0.19676192883781984
dummy,FSTS,1.3847115296091244,0.2273845190660424,1.1309753460937234e-09,28717,0.19676192883781984
dummy,FSTSsq,-1.1113943149430991,0.2506345995828901,9.236284269686606e-06,28717,0.19676192883781984
dummy,wave_2022,0.46265578481350206,0.019262708430746706,1.794561400114348e-127,28717,0.19676192883781984
dummy,wave_2025,1.123906286899209,0.01649241349069387,0.0,28717,0.19676192883781984
dummy,lnEmp,0.19036589321710776,0.0053212513525274655,2.738201305689219e-280,28717,0.19676192883781984
dummy,firmage,1.464098386093271e-05,0.00048525679299951744,0.9759301816891641,28717,0.19676192883781984
dummy,foreigndummy,0.28981955684248983,0.05682781939254277,3.397268141716926e-07,28717,0.19676192883781984
dummy,FSTS_x_2022,0.45088063812163526,0.3099446669317438,0.14574864108354843,28717,0.19676192883781984
dummy,FSTS_x_2025,-1.6315362146439099,0.2718784923913654,1.9613539648165357e-09,28717,0.19676192883781984
dummy,FSTSsq_x_2022,-1.087127334658192,0.3387205954509132,0.0013296115340211846,28717,0.19676192883781984
dummy,FSTSsq_x_2025,0.8631577659396538,0.3191247027697819,0.006835244264442194,28717,0.19676192883781984
