wave,model,term,coef,se,p,n,r2_adj
2014,M2,FSTS,1.8645037981897765,0.2350586262382905,2.1550575112663174e-15,8941,0.031254518438646905
2014,M2,FSTSsq,-1.5081536399173754,0.2542524069792044,2.9978075171951945e-09,8941,0.031254518438646905
2014,M2,lnEmp,0.10147878632648982,0.011135679416434218,8.017862749342116e-20,8941,0.031254518438646905
2014,M2,firmage,-0.0012960806347501511,0.0009994669764445845,0.19470970093426532,8941,0.031254518438646905
2014,M2,foreigndummy,0.40333805063747047,0.17427234206105632,0.020645117262741597,8941,0.031254518438646905
2014,M2,const,13.528134033037476,0.042526134108726424,0.0,8941,0.031254518438646905
2022,M2,FSTS,1.5418561870780332,0.22253548882612265,4.250688898728798e-12,9300,0.09328571899821048
2022,M2,FSTSsq,-1.8932890147488648,0.23909712200339955,2.404054418963601e-15,9300,0.09328571899821048
2022,M2,lnEmp,0.24360845842156878,0.009133268602818214,9.776226497948431e-157,9300,0.09328571899821048
2022,M2,firmage,0.0002517775587397991,0.0008895242414910234,0.7771404719508386,9300,0.09328571899821048
2022,M2,foreigndummy,0.25187296496644496,0.1093994211896743,0.02131688057662956,9300,0.09328571899821048
2022,M2,const,13.46262391486322,0.036324826701374234,0.0,9300,0.09328571899821048
2025,M2,FSTS,-0.35906829958980935,0.15254956979662487,0.01858354929216522,10476,0.1022973330832071
2025,M2,FSTSsq,-0.16037101138218235,0.19898690004735298,0.42027886820597593,10476,0.1022973330832071
2025,M2,lnEmp,0.2140584773976792,0.006649044076523586,2.150224148472129e-227,10476,0.1022973330832071
2025,M2,firmage,-8.981294440369228e-05,0.0006054168614930158,0.8820674009239549,10476,0.1022973330832071
2025,M2,foreigndummy,0.248692520294028,0.05759873976108428,1.5768284680403016e-05,10476,0.1022973330832071
2025,M2,const,14.235424416836727,0.024309644536482194,0.0,10476,0.1022973330832071
