spec,wave,N,clusters,b_FSTS,se_FSTS_HC1,p_FSTS_HC1,se_FSTS_cluster,p_FSTS_cluster,b_FSTSsq,se_FSTSsq_HC1,p_FSTSsq_HC1,se_FSTSsq_cluster,p_FSTSsq_cluster,tp_pct,tp_ci_low_pct,tp_ci_high_pct,lm_inverted_U,lm_p_joint,r2_adj
baseline,2014,8941,23,1.8645037981897765,0.2350586262382905,2.1550575112663174e-15,0.5518229616657472,0.0007280085147357492,-1.5081536399173754,0.2542524069792044,2.9978075171951945e-09,0.5387774587936096,0.005122710549993207,61.814119889400786,54.98696881092493,68.64127096787665,True,3.024308833386671e-05,0.031254518438646905
R1_manufacturing_only,2014,6974,23,1.8961022919174917,0.24203596367873137,4.727045132201513e-15,0.41160920237994225,4.093859087773125e-06,-1.6486253560928144,0.2603571347114428,2.417386160837896e-10,0.4196989686189061,8.561466064683555e-05,57.50555409420577,52.138766866305716,62.87234132210582,True,8.988281763186911e-07,0.04224662895157971
R2_trimmed_FSTS_le095,2014,8666,23,2.263056013588658,0.27936145533311213,5.459133775756603e-16,0.6199449944139707,0.0002618177546205026,-2.32396296214763,0.37768769063474034,7.596657705472755e-10,0.6788771823821598,0.0006187826440494573,48.689588656294966,42.941755442684645,54.4374218699053,True,1.555715144623018e-06,0.02977889060709782
R3a_SME_emp_lt100,2014,6844,23,0.7583740053980486,0.3122354017278909,0.015146657033644493,0.6436773974822818,0.23872103398747102,-0.07105755534685426,0.3460091078063065,0.8372883295896827,0.6129453706436369,0.9077095729383057,533.6336169293938,-4144.886753937695,5212.153987796482,False,0.9388494820212614,0.021874909781996243
R3b_Large_emp_ge100,2014,2097,23,3.0470983276428574,0.3505007953440981,3.512680962458965e-18,0.6580478847247948,3.647634423125978e-06,-3.036675409323482,0.36445588752421737,7.943461237001626e-17,0.5959046487777724,3.4707322125399594e-07,50.17161726089285,47.51338903335914,52.82984548842657,True,9.612321253970335e-15,0.03878903475544282
R4_DV_levels_std,2014,8941,23,0.599926265982624,0.2375472054344335,0.011553267599415632,,,-0.5513941469312967,0.27839876706448596,0.04763713709275163,,,54.40085547891882,36.60868584587348,72.19302511196416,False,0.06689697974835172,0.009993026872411881
baseline,2022,9300,24,1.5418561870780332,0.22253548882612265,4.250688898728798e-12,0.5504281516530861,0.005091385793325328,-1.8932890147488648,0.23909712200339955,2.404054418963601e-15,0.5317351355945485,0.00037002720628007634,40.71898624739426,37.96783190592351,43.470140588865014,True,2.125299936039937e-12,0.09328571899821048
R1_manufacturing_only,2022,5366,24,1.6972286517960944,0.25077639442352695,1.3066828244506354e-11,0.5218567454799233,0.0011447979009581828,-2.056058338013286,0.2764621029053878,1.0297026880314106e-13,0.5221269277776823,8.221442537368344e-05,41.273844725536364,38.11975270255334,44.427936748519386,True,6.533440455314121e-12,0.08481791084214774
R2_trimmed_FSTS_le095,2022,8937,24,1.5845330946085114,0.28661819699358093,3.232091810702484e-08,0.5818054849628345,0.006459896961780465,-1.997541727457916,0.4225035389931592,2.268875766519209e-06,0.78221341901169,0.010658374749208544,39.662077463207694,34.222013510435,45.10214141598039,True,2.0314886030735786e-05,0.0915774394593416
R3a_SME_emp_lt100,2022,6497,24,1.3544359224266977,0.3629961736776973,0.00019051858961803098,0.6279804470284521,0.031020296065854738,-1.6441022802106309,0.3776944024623024,1.342895088820938e-05,0.6052429639516805,0.00659894448295303,41.19074399231345,36.694612319207046,45.686875665419855,True,9.525929480902473e-05,0.07736187940143036
R3b_Large_emp_ge100,2022,2803,24,1.9416022539472546,0.28531700285617934,1.0099992482974088e-11,0.5806357128448268,0.0008260207639616749,-2.3788229227560853,0.33068208861998066,6.306540319932085e-13,0.5803042296354928,4.144577687285568e-05,40.81014680356556,37.289497211446246,44.33079639568487,True,5.049960449809987e-12,0.020759807111960127
R4_DV_levels_std,2022,9300,24,0.9269308762738777,0.16938077200271676,4.438105972644799e-08,,,-1.1162480370223067,0.17895679310261842,4.445390934022337e-10,,,41.519933094196084,38.30111560676907,44.73875058162309,True,2.2190529858079344e-08,0.01947855534399634
baseline,2025,10476,24,-0.35906829958980935,0.15254956979662487,0.01858354929216522,0.3137061540172943,0.2523745809195741,-0.16037101138218235,0.19898690004735298,0.42027886820597593,0.2993186629131306,0.5921058533627308,-111.94925332674643,-472.10285783329243,248.2043511797996,False,0.9907082253539173,0.1022973330832071
R1_manufacturing_only,2025,5706,24,-0.07311002742235573,0.1521318427333386,0.6308220116979975,0.2725014059153271,0.7884743370468181,-0.46443625128528354,0.19534083026168886,0.017427194533779482,0.26076864694162943,0.07490788318953735,-7.870835579698034,-46.03009497288608,30.288423813490017,False,0.6845889941510013,0.10801371960386974
R2_trimmed_FSTS_le095,2025,10436,24,-0.3006343867916268,0.19418126387993534,0.121570489905802,0.35915815014061364,0.4025628091131065,-0.30257398585682105,0.3356566726124594,0.3673549999092769,0.44925354312817534,0.5006268074224745,-49.679483505546294,-217.7257366004258,118.36676958933323,False,0.939214755047099,0.10253120340193456
R3a_SME_emp_lt100,2025,7383,24,-0.7131094892721584,0.34143023361330715,0.03674419288862014,0.5727282601842261,0.2130914437675494,0.3824393329915469,0.42415258617642526,0.3672401233047775,0.5129939249744151,0.45596672881571787,93.23171386347967,-29.64850495090493,216.11193267786427,False,0.98162790355569,0.08733316250710754
