wave,model,term,beta,se,p_value,stars,N,adj_r2,notes
2009,M0,Intercept,,,,,989,,controls only
2009,M2,FSTS_c,1.045,0.430,0.015,*,989,,,
2009,M2,FSTSsq_c,-1.774,0.675,0.009,**,989,,,
2009,M3,FSTS_c,1.089,0.441,0.014,*,989,,,
2009,M3,FSTSsq_c,-1.801,0.681,0.008,**,989,,,
2009,M3,TCI_z,0.203,0.052,<0.001,***,989,,,
2009,M3,FSTS_c:TCI_z,-0.579,0.336,0.087,†,989,,,
2009,M5,TCI_z,0.215,0.051,<0.001,***,989,,,
2009,M6,DAI_z,0.175,0.044,<0.001,***,989,,,
2009,M7,TCI_z,0.215,0.051,<0.001,***,989,,,
2009,M7,DAI_z,0.175,0.044,<0.001,***,989,,,
2009,M8,FSTS_c,1.031,0.442,0.020,*,989,,,
2009,M8,FSTSsq_c,-1.756,0.678,0.010,**,989,,,
2009,M8,TCI_z,0.210,0.052,<0.001,***,989,,,
2009,M8,DAI_z,0.168,0.046,<0.001,***,989,,,
2009,M8,FSTS_c:DAI_z,-0.212,0.389,0.587,,989,,,
2009,M8,FSTSsq_c:DAI_z,0.298,0.601,0.620,,989,,,
2015,M2,FSTS_c,1.159,0.532,0.029,*,956,,,
2015,M2,FSTSsq_c,-2.115,0.733,0.004,**,956,,,
2015,M3,TCI_z,0.128,0.049,0.010,**,956,,,
2015,M3,FSTS_c:TCI_z,0.118,0.412,0.775,,956,,M3 joint p=.713,
2015,M5,TCI_z,0.128,0.049,0.010,**,956,,,
2015,M6,DAI_z,-0.044,0.049,0.377,,956,,,
2015,M7,TCI_z,0.128,0.049,0.010,**,956,,,
2015,M7,DAI_z,-0.044,0.049,0.377,,956,,,
2015,M8,FSTS_c,1.143,0.535,0.033,*,956,,,
2015,M8,FSTSsq_c,-2.089,0.738,0.005,**,956,,,
2015,M8,TCI_z,0.129,0.050,0.010,**,956,,,
2015,M8,DAI_z,-0.038,0.052,0.463,,956,,,
2015,M8,FSTS_c:DAI_z,-0.315,0.498,0.527,,956,,,
2015,M8,FSTSsq_c:DAI_z,0.641,0.822,0.436,,956,,M8 joint p=.093,
2023,M2,FSTS_c,0.962,0.464,0.039,*,1013,,,
2023,M2,FSTSsq_c,-1.686,0.637,0.008,**,1013,,,
2023,M3,TCI_z,0.115,0.048,0.017,*,1013,,,
2023,M3,FSTS_c:TCI_z,-0.622,0.389,0.110,,1013,,M3 joint p=.027,
2023,M5,TCI_z,0.123,0.045,0.006,**,1013,,,
2023,M6,DAI_z,0.095,0.046,0.038,*,1013,,,
2023,M7,TCI_z,0.123,0.045,0.006,**,1013,,,
2023,M7,DAI_z,0.095,0.046,0.038,*,1013,,,
2023,M8,FSTS_c,0.951,0.467,0.042,*,1013,,,
2023,M8,FSTSsq_c,-1.669,0.640,0.009,**,1013,,,
2023,M8,TCI_z,0.120,0.046,0.009,**,1013,,,
2023,M8,DAI_z,0.088,0.048,0.067,†,1013,,,
2023,M8,FSTS_c:DAI_z,-0.912,0.449,0.043,*,1013,,,
2023,M8,FSTSsq_c:DAI_z,1.043,0.633,0.099,†,1013,,M8 joint p=.062,
pooled,M2,FSTS_c,0.984,,<0.001,***,2958,,,
pooled,M2,FSTSsq_c,-1.909,,<0.001,***,2958,,,
pooled,M7,TCI_z,0.179,,<0.001,***,2958,,,
pooled,M7,DAI_z,0.078,,0.004,**,2958,,,
pooled,M8,FSTS_c,0.845,,0.006,**,2958,,,
pooled,M8,FSTSsq_c,-1.650,,<0.001,***,2958,,,
pooled,M8,TCI_z,0.184,,<0.001,***,2958,,,
pooled,M8,DAI_z,0.032,,0.537,,2958,,,
