study_id,tac_gia_nam_stub,r,tac_gia_tim,nam,truy_van_goi_y,trich_dan_APA7_day_du__CO_DIEN,doi__CO_DIEN,verified__x
S03,Sambharya (1995),−0.02 to 0.03,Sambharya,1995,Sambharya 1995 internationalization firm performance,,,
S07,Wan (1998),−0.15 to 0.41,Wan,1998,Wan 1998 internationalization firm performance,,,
S16,Kim et al. (2004),−0.101 to 0.03,Kim et al.,2004,Kim et al. 2004 internationalization firm performance,,,
S21,Hsu (2006),0.369,Hsu,2006,Hsu 2006 internationalization firm performance,,,
S27,Richter (2007),−0.058,Richter,2007,Richter 2007 internationalization firm performance,,,
S40,Pan et al. (2010),0.05/0.07,Pan et al.,2010,Pan et al. 2010 internationalization firm performance,,,
S47,Almodóvar (2012),0.018,Almodóvar,2012,Almodóvar 2012 internationalization firm performance,,,
S51,Pan & Tsai (2012),0.05/0.07,Pan & Tsai,2012,Pan & Tsai 2012 internationalization firm performance,,,
S64,Nguyen & Rugman (2015),0.119–0.316,Nguyen & Rugman,2015,Nguyen & Rugman 2015 internationalization firm performance,,,
S65,Ren et al. (2015),0.09,Ren et al.,2015,Ren et al. 2015 internationalization firm performance,,,
S88,Thi Ngoc Huynh et al. (2018),−0.051,Thi Ngoc Huynh et al.,2018,Thi Ngoc Huynh et al. 2018 internationalization firm performance,,,
S95,Meyer et al. (2019),0.52,Meyer et al.,2019,Meyer et al. 2019 internationalization firm performance,,,
S111,Daniels & Bracker (1989),0.05,Daniels & Bracker,1989,Daniels & Bracker 1989 internationalization firm performance,,,
S112,"Geringer, Beamish & daCosta (1989)",0.07–0.22,"Geringer, Beamish & daCosta",1989,"Geringer, Beamish & daCosta 1989 internationalization firm performance",,,
S113,"Kim, Hwang & Burgers (1993)",−0.05 to 0.12,"Kim, Hwang & Burgers",1993,"Kim, Hwang & Burgers 1993 internationalization firm performance",,,
S115,Ramaswamy (1995),0.07,Ramaswamy,1995,Ramaswamy 1995 internationalization firm performance,,,
S119,"Bloodgood, Sapienza & Almeida (1996)",0.05,"Bloodgood, Sapienza & Almeida",1996,"Bloodgood, Sapienza & Almeida 1996 internationalization firm performance",,,
S124,"Klier, Schwens, Zapkau & Dikova (2017)*",0.08,"Klier, Schwens, Zapkau & Dikova",2017,"Klier, Schwens, Zapkau & Dikova 2017 internationalization firm performance",,,
S131,Dobbs & Hamilton (2007)*,0.03,Dobbs & Hamilton,2007,Dobbs & Hamilton 2007 internationalization firm performance,,,
S134,Pinheiro-Alves (2011)*,0.11,Pinheiro-Alves,2011,Pinheiro-Alves 2011 internationalization firm performance,,,
S135,Guo et al. (2020),0.08,Guo et al.,2020,Guo et al. 2020 internationalization firm performance,,,
S139,"Aulakh, Kotabe & Teegen (2000)",0.09/0.17,"Aulakh, Kotabe & Teegen",2000,"Aulakh, Kotabe & Teegen 2000 internationalization firm performance",,,
S141,"Denis, Denis & Yost (2002)",−0.06,"Denis, Denis & Yost",2002,"Denis, Denis & Yost 2002 internationalization firm performance",,,
S142,Gomez-Mejia & Palich (1997),−0.08,Gomez-Mejia & Palich,1997,Gomez-Mejia & Palich 1997 internationalization firm performance,,,
S150,"Geringer, Tallman & Olsen (2000)",0.07/−0.08,"Geringer, Tallman & Olsen",2000,"Geringer, Tallman & Olsen 2000 internationalization firm performance",,,
S151,Michel & Shaked (1986),0.08,Michel & Shaked,1986,Michel & Shaked 1986 internationalization firm performance,,,
S152,Morck & Yeung (1991),0.04,Morck & Yeung,1991,Morck & Yeung 1991 internationalization firm performance,,,
S153,Wan & Hoskisson (2003),0.09/0.13,Wan & Hoskisson,2003,Wan & Hoskisson 2003 internationalization firm performance,,,
S154,"Yiu, Lau & Bruton (2007)",0.14,"Yiu, Lau & Bruton",2007,"Yiu, Lau & Bruton 2007 internationalization firm performance",,,
S155,"Luo, Zhao & Du (2005)",0.22,"Luo, Zhao & Du",2005,"Luo, Zhao & Du 2005 internationalization firm performance",,,
S156,"Bobillo, López-Iturriaga & Tejerina-Gaite (2010)",0.06/0.09,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,"Bobillo, López-Iturriaga & Tejerina-Gaite 2010 internationalization firm performance",,,
S157,Boehe & Cruz (2010),0.18,Boehe & Cruz,2010,Boehe & Cruz 2010 internationalization firm performance,,,
S158,Singh & Gaur (2009),0.11,Singh & Gaur,2009,Singh & Gaur 2009 internationalization firm performance,,,
S162,Oh & Sohl (2017),0.08,Oh & Sohl,2017,Oh & Sohl 2017 internationalization firm performance,,,
S163,Ogasavara & Hoshino (2007),0.09,Ogasavara & Hoshino,2007,Ogasavara & Hoshino 2007 internationalization firm performance,,,
S164,"Gao, Murray, Kotabe & Lu (2010)",0.13,"Gao, Murray, Kotabe & Lu",2010,"Gao, Murray, Kotabe & Lu 2010 internationalization firm performance",,,
S165,Doukas & Kan (2006),−0.07,Doukas & Kan,2006,Doukas & Kan 2006 internationalization firm performance,,,
S166,Castellacci (2015),0.10/0.16,Castellacci,2015,Castellacci 2015 internationalization firm performance,,,
S167,Reuber & Fischer (1997),0.14/0.28,Reuber & Fischer,1997,Reuber & Fischer 1997 internationalization firm performance,,,
S169,"Isobe, Makino & Montgomery (2000)",0.09/0.15,"Isobe, Makino & Montgomery",2000,"Isobe, Makino & Montgomery 2000 internationalization firm performance",,,
S170,Shan & Song (1997),0.22,Shan & Song,1997,Shan & Song 1997 internationalization firm performance,,,
S174,"Ogasavara, Hoshino & Alberton (2016)",0.11,"Ogasavara, Hoshino & Alberton",2016,"Ogasavara, Hoshino & Alberton 2016 internationalization firm performance",,,
S175,Jo & Roth (2015),0.17,Jo & Roth,2015,Jo & Roth 2015 internationalization firm performance,,,
S176,Khattak & Shah (2022),0.07,Khattak & Shah,2022,Khattak & Shah 2022 internationalization firm performance,,,
S181,Nguyen & Dinh (2022),0.07,Nguyen & Dinh,2022,Nguyen & Dinh 2022 internationalization firm performance,,,
S184,Borkakoti & Dua (2023),0.09,Borkakoti & Dua,2023,Borkakoti & Dua 2023 internationalization firm performance,,,
S186,"Torres, Kunc & O'Shannassy (2022)",0.13,"Torres, Kunc & O'Shannassy",2022,"Torres, Kunc & O'Shannassy 2022 internationalization firm performance",,,
S187,Cho & Lee (2023),0.14,Cho & Lee,2023,Cho & Lee 2023 internationalization firm performance,,,
S189,Do & Phan (2026) **AUTHOR**,+0.07 (est.),Do & Phan,2026,Do & Phan 2026 internationalization firm performance,,,
S193,García-Sánchez & Rama (2024),+0.09 (est.),García-Sánchez & Rama,2024,García-Sánchez & Rama 2024 internationalization firm performance,,,
S201,Cuervo-Cazurra et al. (2017),+0.05 (est.),Cuervo-Cazurra et al.,2017,Cuervo-Cazurra et al. 2017 internationalization firm performance,,,
